ra_013020_0010#0,"""......你怎麼啦？<br>有什麼事情需要我幫忙麼？"""
ra_013020_0020#0,"""你說我發生變化了？<br>我們應該是不會發生任何變化的<br>你說我已經開始變化一陣子了？"""
ra_013020_0030#0,"""請你稍等一下。<br>我想依據客觀判斷來進行分析。<br>......哦～"""
ra_013020_0040#0,"""在優勢方面看不出來有任何變化。<br>......不過，在無法量化的部分<br>似乎出現了一些細微的變化，是麼？"""
ra_013020_0050#0,"""最明顯的部分<br>應該就是遣辭用字吧。"""
ra_013020_0060#0,"""比起正確傳達訊息，現在<br>變成以促使對方理解<br>作為遣辭用字的優先考量了。"""
ra_013020_0070#0,"""不過，我們身上<br>都找不到可能會引起變化的跡象。"""
ra_013020_0080#0,"""或許是得自某處的反饋<br>又或者是我們開始感受到某些事物了吧。"""
ra_013020_0090#0,"""呵呵......哎呀呀，失禮了。<br>看來又是一樁尚未掌握的事呢。"""
ra_013020_0100#0,"""對我們而言不明白<br>某件事情感覺還挺新奇的呢。<br>非常新鮮、近乎甜美。"""
ra_013020_0110#0,"""原來如此，正因有這樣的感覺<br>人類心中才會萌生出好奇心吧。"""
ra_013020_0120#0,"""......我要感謝你們。<br>我們又找到了一個<br>新的可能性了。"""
ra_013020_0130#0,"""如果無法理解的話<br>只要能夠讓對方接受我們的感謝<br>那也無妨。我就已經心滿意足了。"""
