name01#0,"""市民"""
st_053090_0010#0,"""哦哦，哈莉艾特大人！<br>來這種地方真的好麼？"""
st_053090_0020#0,"""啊啦，不行哦！<br>從現在開始不稱呼爲國王大人的話！"""
st_053090_0030#0,"""啊啊，對啊！<br>已經是國王大人了呢、哈莉艾特大人！"""
st_053090_0040#0,"""所，以……！"""
st_053090_0050#0,"""呼呼。<br>還真是不成熟的，需要努力的王而已。<br>和以前一樣，叫我哈莉艾特就好了。"""
st_053090_0060#0,"""哈莉艾特大人！　哈莉艾特大人！<br>王是什麼？"""
st_053090_0070#0,"""嗯、王啊<br>就是大家的代表，這樣的感覺。"""
st_053090_0080#0,"""偉大麼？　厲害麼？"""
st_053090_0090#0,"""不偉大，也不厲害。<br>和大家一樣，只是<br>稍微引人注目一些，吧？"""
st_053090_0100#0,"""嗚嗯、哈莉艾特大人<br>是引人注目的人？"""
st_053090_0110#0,"""啊……嗯、引人注目！<br>但是，一個人的話有點兒害羞呢，大家要是能給我應援的話就好了？"""
st_053090_0120#0,"""當然！　吶！"""
st_053090_0130#0,"""吶！"""
st_053090_0140#0,"""哈莉艾特大人！"""
st_053090_0150#0,"""哈莉艾特大人！"""
st_053090_0160#0,"""哈莉艾特大人。"""
st_053090_0170#0,"""哈莉艾特大人！"""
st_053090_0180#0,"""一直都有人來搭話……<br>真是受人愛戴啊。"""
st_053090_0190#0,"""被人民愛慕……麼<br>好像稍微有點兒不對呢。"""
st_053090_0200#0,"""宰相魯茲……不對，先王<br>爲了保持國威<br>對人民施加了強大的負擔……"""
st_053090_0210#0,"""從那個王的手中解放出來的狂熱。<br>然後，我覺得現在是表現出的<br>對從今往後的統治的期待吧。"""
st_053090_0220#0,"""而且，我小的時候<br>經常悄悄地來市區遊玩<br>所以認識我的人很多呢。"""
st_053090_0230#0,"""很熟悉爲政的人的話。<br>這點對於人民來說，應該會讓他們安心吧。"""
st_053090_0240#0,"""因此，支持我們。<br>並且我們也有相應那份期待的義務。"""
st_053090_0250#0,"""奪回國家只是第一步。<br>讓人民幸福才是作爲王族理所應盡的義務。"""
st_053090_0260#0,"""而且，爲了迴應人民的信賴的同時<br>也有必須要做的事情。"""
st_053090_0270#0,"""因此，我和盧瑟的目的就是<br>封印徒花。"""
