name01#0,"""ヒルダ"""
name02#0,"""攻撃対象の捉え方"""
linewindow#0,"""<br>關於『鎖定目標』<br>"""
text00#0,"""關於『鎖定目標』"""
text01#0,"""說明關於「鎖定目標」。"""
text02#0,"""按下<%LockOn>，讓位在正面的攻擊對象，<br>經常保持在畫面中，方便攻擊。<br>要解除鎖定目標時，再按一次<%LockOn>，<br>就可以解除。"""
text03#0,"""連續按壓<%LockOn>，可面對位在正面的攻擊對象，<br>經常保持在畫面中，方便攻擊。<br>放開<%LockOn>即可解除鎖定目標。<br><br><yellow>※僅限於<#GamePad>操作<c><br>當攻擊對象為複數時，<br>在鎖定目標中將<%RStick>向任意方向<br>移動，即可切換鎖定<br>目標對象。"""
text05#0,"""<%LockOn_N>を押し続けることで正面にいる<br>攻撃対象に対して常に画面内に捉えて<br>攻撃しやすくなります。<br><%LockOn_N>を離すとロックオンを解除できます。<br><br>ロックオン中に<%RStick>を任意の方向に<br>入力することで、ロックオン対象を<br>切り替えることが可能です。<br>※攻撃対象が複数存在する場合のみ"""
text201#0,"""エネミーを倒せ！"""
text202#0,"""エネミーを倒せ！"""
text203#0,"""ロックオン：<%LockOn_N>を押し続ける"""
text204#0,"""ロックオン：<%LockOn_N>を押し続ける"""
text04#0,"""只要按一次執行鎖定目標或<br>長按（按住）執行鎖定目標<br>機能設定中的設定就會改變。"""
