IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""打倒$(0)！"""
TrialAbstract#0,"""討伐$(0)！"""
NpcComOnBegin#0,"""緊急通知。<br>發現強大的敵意反應。<br>請火速加以擊潰。"""
NpcComOnSuccess#0,"""敵意反應消失了。<br>感謝各位的努力！"""
NpcComOnBegin#1,"""緊急通知。<br>發現強大的敵意反應。<br>請火速加以擊潰。"""
NpcComOnSuccess#1,"""確認敵意反應已消失。<br>做得很好。"""
NpcComOnBegin#2,"""緊、緊急通知！<br>發現強大的敵人反應！<br>請盡快將它擊潰！"""
NpcComOnSuccess#2,"""/face2 聽說敵人反應消失了!<br>大家辛苦了！"""
NpcComOnBegin#3,"""緊急通達。<br>強力な敵性反応を感知。<br>迅速な対応を望みます。"""
NpcComOnSuccess#3,"""敵性反応、消失。<br>任務完了を確認しました。"""
NpcComOnBegin#4,"""緊急通達です！<br>強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#4,"""敵性反応、消失確認！<br>お見事です！"""
NpcComOnBegin#5,"""緊急通達です！<br>強力な敵性反応を確認しました！<br>急ぎ対処をお願いします！"""
NpcComOnSuccess#5,"""敵性反応、消失確認！<br>お見事です！"""
