NAME#0,"""アラガス"""
NICKNAME#0,"""武器商店店員"""
HELLO#0,"""本店提供武器的<br>販賣"""
HELLO_FAV4#0,"""本店提供武器的<br>販賣"""
HELLO_FAV3#0,"""本店提供武器的<br>販賣"""
HELLO_FAV2#0,"""本店提供武器的<br>販賣"""
HELLO_FAV1#0,"""本店提供武器的<br>販賣"""
HELLO_FAV0#0,"""本店提供武器的<br>販賣"""
Q0#0,"""本店提供武器的<br>販賣"""
GOODBYE#0,"""期待下次光臨"""
GOODBYE_FAV4#0,"""期待下次光臨"""
GOODBYE_FAV3#0,"""期待下次光臨"""
GOODBYE_FAV2#0,"""期待下次光臨"""
GOODBYE_FAV1#0,"""期待下次光臨"""
GOODBYE_FAV0#0,"""期待下次光臨"""
00_01#0,"""選項1"""
00_02#0,"""選項2"""
TALK_ST#0,"""對話"""
C_ORDER_ST#0,"""商量"""
