un_025000_0010#0,"""……<%me>君"""
un_025000_0020#0,"""能見面真是太好了。<br>因爲我只想直接<br>向你道謝。"""
un_025000_0030#0,"""我們的……不、我的錯誤<br>感謝你的糾正。<br>……謝謝。"""
un_025000_0040#0,"""同時、我道歉。<br>用那樣的手<br>把無辜的你逼到絕境……"""
un_025000_0050#0,"""導致了不得不<br>和朋友戰鬥的狀況……<br>由衷地道歉。"""
un_025000_0060#0,"""這次的事、全部都是我的責任。<br>待情況穩定後、將以大家都能接受<br>的方式承擔起責任。"""
un_025000_0070#0,"""用沉重的語氣承擔責任<br>你是想自決嗎？<br>我不會讓你這麼輕鬆地逃跑的。"""
un_025000_0080#0,"""但是、如果高層不承擔責任的話<br>組織就會陷入困境。<br>現在、不能讓ARKS崩潰……"""
un_025000_0090#0,"""老了老了、你的想法太老了。<br><%me><br>你不這麼認爲嗎？"""
un_025000_0100#0,"""廣播裏的通知、絶対令的使用<br>全部都是一個人在做<br>是爲了揹負責任吧？"""
un_025000_0110#0,"""我最不喜歡那種<br>一個人把責任壓在身上<br>的姿態了。"""
un_025000_0120#0,"""……那該怎麼辦呢。<br>在這個只知道戰鬥的身上<br>你還能要求什麼。"""
un_025000_0130#0,"""你真的是不管<br>過了多久都很笨拙呢。"""
un_025000_0140#0,"""承擔責任的方式不止一種。<br>我的意思是、你要從中試著<br>考慮一下怎麼補償才好。"""
un_025000_0150#0,"""如果無論如何都不明白的話……<br>是啊。"""
un_025000_0160#0,"""寧願死也要<br>為了ARKS而行動、去行動吧<br>然後再去死。"""
un_025000_0170#0,"""現在馬上就死反而<br>更麻煩。對吧？"""
un_025000_0180#0,"""……承擔責任的方法嗎。"""
