REPORT_GOOD_FAV4#0,"""為能回應主人的期待<br>而努力。"""
REPORT_GOOD_FAV3#0,"""我覺得留下了<br>令人滿意的成果。"""
REPORT_GOOD_FAV2#0,"""做為探索的成果報告，<br>可以說是成功吧。"""
REPORT_GOOD_FAV1#0,"""說是探索成功，<br>也無妨的成果。"""
REPORT_GOOD_FAV0#0,"""探索成功了。"""
REPORT_GOOD_FAV4#1,"""這次，我有信心<br>你是否也滿意呢！"""
REPORT_GOOD_FAV3#1,"""我覺得成果充分呢，<br>可以麼？"""
REPORT_GOOD_FAV2#1,"""大致覺得成功吧？<br>嗯，看著吧！。"""
REPORT_GOOD_FAV1#1,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#1,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#2,"""怎...怎麼了......<br>想助你一臂之力<br>拼了命地努力去做......"""
REPORT_GOOD_FAV3#2,"""很...很努力了！<br>也總算有了成果<br>......你覺得呢？"""
REPORT_GOOD_FAV2#2,"""整體而言算是成功吧。<br>成功......是吧？"""
REPORT_GOOD_FAV1#2,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#2,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#3,"""對這項成果有信心。<br>都是因為你才這麼努力的。"""
REPORT_GOOD_FAV3#3,"""我覺得沒辜負你的期待，<br>怎麼樣呢？"""
REPORT_GOOD_FAV2#3,"""做得還算不錯吧？<br>以成果的來看，算成功吧。"""
REPORT_GOOD_FAV1#3,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#3,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#4,"""結果很精彩，大成功呢！<br>還不都是因為你<br>才這麼拼了命的努力！"""
REPORT_GOOD_FAV3#4,"""超乎期待的結果呢！<br>嘿嘿，值得讚美一下吧？"""
REPORT_GOOD_FAV2#4,"""我一出手就是這麼<br>輕而易舉啦！"""
REPORT_GOOD_FAV1#4,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#4,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#5,"""怎麼樣。<br>為能令你滿意<br>我可是盡心盡力。"""
REPORT_GOOD_FAV3#5,"""若能符合你的期待<br>的話，那就最好了<br>如何呢？"""
REPORT_GOOD_FAV2#5,"""從成果來看，算是成功。<br>如何呢？"""
REPORT_GOOD_FAV1#5,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#5,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#6,"""當然囉，大成功！<br>因為有你的期待，<br>只能埋頭努力啊！"""
REPORT_GOOD_FAV3#6,"""不敢有所輕忽！　成功了呢！<br>稱讚我啊，稱讚我啊！"""
REPORT_GOOD_FAV2#6,"""只要我一出手，<br>簡直就是輕而易舉！"""
REPORT_GOOD_FAV1#6,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#6,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#7,"""成果？　當然，成功是一定的。<br>......怎麼能<br>辜負你的期待呢。"""
REPORT_GOOD_FAV3#7,"""成果完美，當然是成功的啦！<br>我是你的支援夥伴啊。<br>這點小事，當然做得到？"""
REPORT_GOOD_FAV2#7,"""我都出手了。<br>除了成功，沒有其他結果。"""
REPORT_GOOD_FAV1#7,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#7,"""REPORT_GOOD_FAV0<br>Debug_Error"""
REPORT_GOOD_FAV4#8,"""哼哼...為了回應你的期待，<br>我可是非常地努力呢。<br>......好好稱讚我也是應該的吧？"""
REPORT_GOOD_FAV3#8,"""是否符合了你的期待呢？<br>能令你滿意就好了。"""
REPORT_GOOD_FAV2#8,"""我呀，只要想做就做得到啦。<br>......真的做到了哦？"""
REPORT_GOOD_FAV1#8,"""REPORT_GOOD_FAV1<br>Debug_Error"""
REPORT_GOOD_FAV0#8,"""REPORT_GOOD_FAV0<br>Debug_Error"""
