un_013020_0001#0,"""A.P.238/4/7"""
un_013020_0010#0,"""......你好。"""
un_013020_0020#0,"""ARKS的活動......喔，剛剛螢幕上<br>播放出來的那個啊。<br>我沒什麼興趣呢。"""
un_013020_0030#0,"""我的興趣只有一個......<br>要怎樣變得更強大<br>然後消滅掉黑暗種，如此而已。"""
un_013020_0040#0,"""......即使是黑暗法爾斯，<br>只要能有讓他無處下手的力量，<br>只要有我這樣的力量......"""
un_013020_0050#0,"""......她也就不至於會死。"""
un_013020_0060#0,"""......告訴我。<br>為什麼她必須要送掉<br>這條性命呢。"""
un_013020_0070#0,"""為什麼會是她......<br>她沒有才華，卻很努力，<br>拼了命的用功爬上來......"""
un_013020_0080#0,"""好不容易才圓了她的夢，<br>但是......"""
un_013020_0090#0,"""......對不起。<br>這問題問你也沒用。"""
un_013020_0100#0,"""不用多想，只要把所有黑暗種<br>殲滅，一切就會結束吧。"""
un_013020_0110#0,"""嗯，我知道的。<br>那是我唯一能夠做到，<br>且無法假手他人的事情。"""
un_013020_0120#0,"""那麼，我先走了。<br>趁大家去參加活動的時候，<br>必須要消滅更多更多......"""
