st_058170_0010#0,""" ……嗚--啊--！"""
st_058170_0020#0,"""……結束了啊。"""
st_058170_0030#0,"""什麼啊、已經結束了嗎？<br>我和拉比里斯<br>都還沒鬧够呢。"""
st_058170_0040#0,"""哈哈、你還是血氣方剛<br>很有精神啊。<br>我已經筋疲力盡了。"""
st_058170_0050#0,""" ……我們的任務完成了。<br>回去吧、瑪利亞。"""
st_058170_0060#0,"""啊…………"""
st_058170_0070#0,""" ……謝謝你、吉君。"""
st_058170_0080#0,"""哎呀手滑了！"""
st_058170_0090#0,"""做什麼啊、瑪利亞。"""
st_058170_0100#0,"""真是個麻煩的老頭。<br>現在也不是害羞的年紀吧。"""
st_058170_0110#0,"""說話需要見到對方的樣子嗎？<br>你和阿露瑪之間聯繫的程度<br>不是那種樣子吧。"""
st_058170_0120#0,"""啊、啊。<br>總覺得還不夠<br>不知道該不該去鍛煉下莎拉呢。"""
st_058170_0130#0,"""吉君……"""
st_058170_0140#0,""" ……不明白的<br>是你、瑪利亞。"""
st_058170_0150#0,"""我和她連對話都不需要。<br> ……對吧、阿露瑪？"""
st_058170_0160#0,""" ……呵呵、是嗎？<br>女人心、也許不是那麼簡單的哦<br>雷吉亞斯君。"""
skit01#0,"""The Saviors"""
skit02#0,"""於是英雄聚集在此"""
name01#0,"""？？？"""
name02#0,"""？？？"""
