un_043090_0001#0,"""A.P.2028/x/xx"""
un_043090_0010#0,"""……雖然剛才見到了好多人<br>但總感覺，他們在跟<%me>你說話的時候<br>都顯得特別開心。"""
un_043090_0020#0,"""……也不知道具體該怎麼形容吧<br>就是覺得<%me><br>你這人真的好厲害啊。"""
un_043090_0030#0,"""才沒這回事"""
un_043090_0040#0,"""你可以再多尊敬我一點哦"""
un_043090_0050#0,"""不，肯定有這回事。<br>至少在我看來是有這回事的。"""
un_043090_0060#0,"""可要是我現在突然轉變態度<br>不就像是因為知道了你的立場<br>而突然變臉一樣，更讓人覺得不爽了嘛？"""
un_043090_0070#0,"""你看又是一個。<br>到哪兒都有人跟你打招呼，也太棒了吧。"""
un_043090_0080#0,"""我這人啊，因為在學校裡都喜歡任著性子來<br>所以雖然在老師那兒印象不錯<br>卻總是融不進同齡人的圈子。"""
un_043090_0090#0,"""而且我平常也都表現出一副<br>有冰莉就足夠了的樣子<br>所以就更是沒人靠近我了……"""
un_043090_0100#0,"""所以我就是有點羨慕<%me><br>你和大家相處的方式。<br>……僅此而已。"""
un_043090_0110#0,"""哈啊，我這都在說什麼呢？<br>我是不是到了異世界，就變得懦弱起來了啊？<br>真是不像我自己。"""
un_043090_0120#0,"""姐姐，你也很厲害哦。"""
un_043090_0130#0,"""阿有？"""
un_043090_0140#0,"""畢竟你救了我呀。<br>姐姐，你和<%me>都一樣厲害哦。"""
un_043090_0150#0,"""……謝謝你，阿有。"""
