st_057150_0010#0,"""啊、這幫傢伙！<br>到底是從哪裏冒出來的！"""
st_057150_0020#0,"""哈莉艾特大人、這裡已經不能停留了！<br>趕緊到後方避難！"""
st_057150_0030#0,"""啊……！<br>但是、那麼……！"""
st_057150_0040#0,"""如果在這裡死去、那才是<br>無法挽回的事情！<br>哈莉艾特大人、請……！"""
st_057150_0050#0,"""…………我明白了。"""
st_057150_0060#0,"""瓦爾納、下令全軍撤退。<br>在維持戰線的情況下<br>退到昆特國內。"""
st_057150_0070#0,"""是！<br>馬上傳令……！"""
st_057150_0080#0,"""什、什麼事！？"""
st_057150_0090#0,"""是來自昆特國內方面的強襲！"""
st_057150_0100#0,"""敵人會蜂擁而來的！<br>保護哈莉艾特大人！"""
st_057150_0110#0,"""哈莉艾特大人、這裏很危險！<br>雖然對面很強、但要突破這裡！<br>請不要離開我！"""
st_057150_0120#0,"""沒有魔神城、也沒有召喚術士<br>魔物爲什麼會出現呢……！"""
st_057150_0130#0,"""哈莉艾特大人、湖上沒有敵人！<br>請坐船逃走！<br>這裏由我來阻止！"""
st_057150_0140#0,"""瓦爾納！"""
st_057150_0150#0,"""不用擔心、哈莉艾特大人！<br>我一定去接您！<br>去吧！哈莉艾特大人就拜託了！"""
st_057150_0160#0,"""啊！"""
st_057150_0170#0,"""瓦爾納！　瓦爾納！"""
st_057150_0180#0,"""這裏應該沒有敵人……"""
st_057150_0190#0,"""……啊！　這裏也有……！"""
st_057150_0200#0,"""守護輝士、一定會想辦法的。<br>所以到此爲止……<br>我不能退讓！"""
st_057150_0210#0,"""啊！"""
st_057150_0220#0,"""呀！"""
st_057150_0230#0,"""啊……啊啊……！"""
st_057150_0240#0,"""（兄長……！<br>守護輝士……！）"""
st_057150_0250#0,"""誒……？"""
st_057150_0260#0,"""啊……啊啊啊……！<br>你來了啊、守護輝士……！"""
st_057150_0270#0,"""我一直相信……相信……！<br>真的、太好了……<br>這樣、世界就融爲一體了……！"""
st_057150_0280#0,"""……那個、守護輝士。<br>雪拉桑、在哪裡？"""
st_057150_0290#0,"""呵、呵呵、哈哈哈哈！"""
st_057150_0300#0,"""你、比我想象的還要眼尖。<br>特意模仿了一下<br>卻沒能成功。"""
st_057150_0310#0,"""你是……埃爾米爾！？"""
st_057150_0320#0,"""很驚訝吧？<br>我還活着<br>你早就知道吧？"""
st_057150_0330#0,"""是不死之身……是嗎？"""
st_057150_0340#0,"""哈哈、在這樣的世界裏活着和死<br>不是沒有任何意義嗎。"""
st_057150_0350#0,"""這是怎麼回事……"""
st_057150_0360#0,"""好痛……！"""
st_057150_0370#0,"""守護輝士君很努力哦。<br>不久這一帶的<br>戰亂也會平息、撒。"""
st_057150_0380#0,"""而且、守護輝士真的<br>真的做得很好。"""
st_057150_0390#0,"""【巨躯】【敗者】【若人】【双子】。<br>所有的因子都回歸了大地。"""
st_057150_0400#0,"""接下來、就是我和你了。"""
st_057150_0410#0,"""你應該知道吧、哈莉艾特。<br>不、徒花的容器。"""
st_057150_0420#0,"""徒花的……容器……？"""
st_057150_0430#0,"""徒花的靈魂、徒花的容器。<br>是一個整體<br>世界也會變成一個整體。"""
st_057150_0440#0,"""也就是說、你所期望的世界能够實現！<br>沒有什麼不滿吧、哈莉艾特？"""
st_057150_0450#0,"""不……我不要……！<br>如果那樣做的話<br>這個世界……！"""
st_057150_0460#0,"""來吧、讓我們創造奇蹟吧！<br>破壞世界的奇迹、撒！"""
name01#0,""" <%me>？"""
name02#0,"""昆特軍兵士"""
name03#0,"""？？？"""
