st_042115_0010#0,"""冰莉，抱歉。<br>剛才剛好被我哥捉到，害我遲到了。"""
st_042115_0020#0,"""喲，來得正好嘛。"""
st_042115_0030#0,"""你是……之前的那個變態社長！<br>好像是叫亞贄萩斗來著！"""
st_042115_0040#0,"""你這記人的方式也太過分了！"""
st_042115_0050#0,"""火、火継－－……！<br>太好了，真是太好了！"""
st_042115_0060#0,"""太好了，火継！<br>你來了真是太好了……！<br>我一直都相信你來著！"""
st_042115_0070#0,"""冰、冰莉，你這也太誇張了。<br>……啊，難道說！"""
st_042115_0080#0,"""什麼都沒做。我可什麼都沒做哦。<br>我是這兒的畢業生。<br>順便一提，五年前的學生會長就是我。"""
st_042115_0090#0,"""前學生會長……意思是說<br>你也知道聖母星團的事情……"""
st_042115_0100#0,"""這裡的學生會成員，不是無一例外<br>全員都屬於聖母星團嘛？<br>那當然也就不會存在我這麼個例外。"""
st_042115_0105#0,"""畢竟我來這兒順路嘛<br>所以只是想久違地擺襬前輩的架子<br>可沒想到，這倒霉事啊，是一樁接著一樁。"""
st_042115_0110#0,"""我原本還想聊聊我們公司的APP<br>面向高中生的測試來著，不過還是改天吧。<br>……那就先告辭了，八坂火継同學。"""
st_042115_0120#0,"""冰莉，那個變態走了，已經沒事啦。<br>……冰莉？你真的沒事嗎？"""
st_042115_0130#0,"""……我問你，火継。<br>火継，你還記不記得被聖母星團……<br>被聖母邀請那時候的事情？"""
st_042115_0140#0,"""我即便到了今天，也依然忘不了。<br>我從來都沒有忘記過。"""
st_042115_0150#0,"""我曾經很孤單，一個朋友都沒有。<br>……而在那時，是聖母指引了我。<br>是她指引了我加入了聖母星團。"""
st_042115_0160#0,"""然後，她便讓我遇見了你，火継。<br>是聖母，讓我遇見了你。"""
st_042115_0170#0,"""讓一直都是孤身一人的我<br>遇見了第一個朋友。遇見了第一個，我所珍視的人。"""
st_042115_0180#0,"""就是因為我照著聖母所說的去做了……<br>我才會在聖母的幫助下，遇見了你<br>還和你變成了親密的朋友……所以，所以…………！"""
st_042115_0190#0,"""冰莉……"""
st_042115_0200#0,"""……所以火継，你哪都別去好不好？<br>你的歸屬，就在這裡啊。"""
st_042115_0210#0,"""只要照著聖母所說的去做<br>就絕對不會有事。大家都是會得到幸福的。<br>……你就留在這兒，不要離開好不好？"""
st_042115_0220#0,"""……“照著聖母所說”麽。"""
st_042115_0230#0,"""她們對聖母的信賴感好強啊。"""
st_042115_0240#0,"""……這聖母，究竟是何方神聖啊？<br>會不會是個相當具有壓倒性威力的存在？"""
st_042115_0250#0,"""不過話說回來<br>火継小姐原來還有個哥哥呀。<br>雖說那身高差，看著就跟父女倆似的。"""
