st_055120_0230#0,"""妹妹，真是傲慢的說法呢。<br>你不這麼認爲麼？"""
st_055120_0240#0,"""你是......盧瑟？"""
st_055120_0250#0,"""......是哪一個盧瑟？"""
st_055120_0260#0,"""哈哈......真是掃興的提問。<br>盧瑟只有一個，我也只有一個。<br>那個是我，這個是我，全部都是我。"""
st_055120_0270#0,"""......也就是說，想要保護她的意志<br>早就存在於我的內心裏了。"""
st_055120_0280#0,"""......剛好在【雙子】裏面<br>我也厭倦了【深遠之暗】。<br>這力量就借給你吧。"""
st_055120_0290#0,"""不需要教學。隨便使用吧。<br>這樣的話，你也應該可以見識到殘酷的真實了。<br>.......太古的絕望。"""
st_055120_0300#0,"""盧瑟哥哥......！"""
st_055120_0310#0,"""哈莉艾特，別忘了。"""
st_055120_0320#0,"""你是......人類。"""
st_055120_0330#0,"""不會忘的......！<br>盧瑟，哥哥......！"""
st_055120_0340#0,"""那個......哈莉艾特，殿下。"""
st_055120_0350#0,"""......我沒事。我不會哭的。<br>因爲王族是不會哭泣的。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
