IncidentName#0,"""$(0)討伐"""
TrialBeginMsg#0,"""討伐$(0)！"""
TrialAbstract#0,"""討伐$(0)！"""
NpcComOnBegin#0,"""緊急通知。<br>確定出現強大的敵意反應<br>請火速加以擊潰。"""
NpcComOnSuccess#0,"""/face2 敵意反應消失了<br>感謝各位人員的努力。"""
NpcComOnFailure#0,"""/face4 交戰中的隊員的反應消失了。<br>立刻準備傳送到<br>營地小船。"""
HP_Under_50#0,"""$(0)的剩餘體力降低！"""
HP_Under_10#0,"""$(0)僅剩下少許體力！"""
NpcComLastEnemy#0,"""還剩一隻！"""
NpcComOnBegin#1,"""緊急通知。<br>發現強大的敵意反應。<br>請火速加以擊潰。"""
NpcComOnSuccess#1,"""確認敵意反應已消失。<br>做得很好。"""
NpcComOnFailure#1,"""嘖，這邊被打敗了麼......<br>準備傳送至營地小船。"""
HP_Under_50#1,"""$(0)的剩餘體力降低！"""
HP_Under_10#1,"""$(0)僅剩下少許體力！"""
NpcComLastEnemy#1,"""還剩一隻！　不要鬆懈！"""
