NAME#0,"""莉莎"""
NICKNAME#0,"""道具商店店員"""
HELLO#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
HELLO_FAV4#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
HELLO_FAV3#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
HELLO_FAV2#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
HELLO_FAV1#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
HELLO_FAV0#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
Q0#0,"""歡迎光臨<br>本店提供道具的<br>販賣"""
GOODBYE#0,"""旅途中請注意安全"""
GOODBYE_FAV4#0,"""旅途中請注意安全"""
GOODBYE_FAV3#0,"""旅途中請注意安全"""
GOODBYE_FAV2#0,"""旅途中請注意安全"""
GOODBYE_FAV1#0,"""旅途中請注意安全"""
GOODBYE_FAV0#0,"""旅途中請注意安全"""
00_01#0,"""選項1"""
00_02#0,"""選項2"""
TALK_ST#0,"""對話"""
C_ORDER_ST#0,"""商量"""
