un_020740_0010#0,"""唉呀唉呀唉呀呀，是你啊。"""
un_020740_0020#0,"""今天心情好麼？<br>......你還真有精神。<br>很高興你平安無事。"""
un_020740_0030#0,"""莉莎正在隨意散步當中呢。<br>目前的ARKS戰艦中，<br>洋溢著讓人輕鬆不了的氣氛。"""
un_020740_0040#0,"""和之前黑暗法爾斯的復活<br>又是不同的緊張感。"""
un_020740_0050#0,"""而且，是對內緊張萬分，<br>不是對外。<br>好讓人毛骨悚然啊。"""
un_020740_0060#0,"""感覺會讓我想起<br>很久很久之前呢。"""
un_020740_0070#0,"""呵，到底之前是怎麼樣，<br>我可是根本、完全、一點都<br>不記得了呢。"""
un_020740_0080#0,"""話說回來，是啊，話又說回來，<br>我真羨慕。<br>你看起來很快樂呢。"""
un_020740_0090#0,"""沒發現麼？<br>這是把你捲入漩渦中心的<br>組織內部的緊張感啊。"""
un_020740_0100#0,"""到底會有什麼呢。<br>啊啊，好羨慕，好羨慕啊。好想把漩渦中的一切<br>扣下扳機射個精光......"""
un_020740_0110#0,"""不過不過，莉莎是有良知的，<br>不會這樣做的啦。<br>你大可放心唷，呵呵呵。"""
