un_012300_0005#0,"""【調查委託包在我身上！】<br>暫用文字"""
un_012300_0010#0,"""唉呀呀，你好哇！<br>琶提小姐是也！<br>你有沒有什麼困擾啊！"""
un_012300_0020#0,"""完全被之前遇到的那位<br>給影響了......<br>你好，我是提雅。"""
un_012300_0030#0,"""嗯？　咦，可是他一副真的<br>有事要拜託的表情耶？<br>好哇，大姐姐我聽你說說咯！"""
un_012300_0040#0,"""有沒有研究室的情報？"""
un_012300_0050#0,"""詢問關於研究部發生的事故"""
un_012300_0060#0,"""研究室？"""
un_012300_0070#0,"""就是ARKS的研究部啦。<br>喏，上次發生事故的那個。<br>妳不是自己說出來了麼？"""
un_012300_0080#0,"""嗯......咦？<br>我有說過這話喔？<br>好像有，又好像沒有呢。"""
un_012300_0090#0,"""嗯，算了。<br>既然提雅說有，<br>那就應該是說過了。"""
un_012300_0100#0,"""研究部發生的事故是指......<br>之前發生的那件事情麼？"""
un_012300_0110#0,"""之前的？　事故？<br>好像有，又好像沒有耶......"""
un_012300_0120#0,"""不，有這件事！<br>而且是琶提妳<br>親口說出來的唷！"""
un_012300_0130#0,"""嗯......？　哦哦！　啊啊！<br>我知到了，那個對吧！"""
un_012300_0140#0,"""原來如此原來如此，是那個的情報喔。<br>嘿嘿，客官，您打聽的情報<br>還真是危險啊！"""
un_012300_0150#0,"""ARKS的研究部採行秘密主義。<br>先不管能不能獲得情報，<br>那地方的風險就很高了......"""
un_012300_0160#0,"""可是呢！　只要有我和提雅，<br>沒有「不可能」這兩個字！"""
un_012300_0170#0,"""而且，有人委託<br>又怎麼能往門外推呢！<br>來，提雅，出發咯！"""
un_012300_0180#0,"""啊，等等、等一下，<br>琶提妳等我一下啦！<br>「不可能」是三個字啦！"""
un_012300_0190#0,"""總、總之會盡可能的<br>試著收集情報！<br>那就再見了！"""
