un_044050_0010#0,"""哦哦，<%me>！<br>在這兒見到你也太巧了！"""
un_044050_0020#0,"""雖然時不時會聽克拉莉絲克蕾絲提起你<br>不過像這樣當面見，果然感覺還是不一樣啊。<br>或許該說，這樣更有真實感吧。"""
un_044050_0030#0,"""你在做什麼呢？"""
un_044050_0040#0,"""太好了，看你也挺精神的"""
un_044050_0050#0,"""倒也沒有在特別做什麼<br>就是在納貝流士做定期巡邏啦！"""
un_044050_0060#0,"""雖說我現在坐上了戰鬥部司令的位置<br>但那些根本跟我沒關係！我可是現場至上主義者！"""
un_044050_0070#0,"""哼哈哈哈！這不當然的嘛！<br>畢竟這就是我的長處嘛！"""
un_044050_0080#0,"""而且你想想看嘛！<br>我要是沒精神了<br>那才叫一個讓人不爽吧？"""
un_044050_0090#0,"""是叫地球來著吧？畢竟現在ARKS<br>都在著手應對那個異世界行星的問題<br>都騰不出手來處理這邊的各個行星了。"""
un_044050_0100#0,"""所以呢，我和克拉莉絲克蕾絲一有空的時候<br>就會到這邊來四處巡邏一下！"""
un_044050_0110#0,"""我也知道那些因地球而起的問題<br>不過對我們ARKS而言，還殘存著<br>與黑暗種對抗這個長久以來的問題！"""
un_044050_0120#0,"""我這意思，倒也不是說要優先於哪一個！<br>只是說，也該由適合的人負責適合的事情嘛！"""
un_044050_0130#0,"""我們就負責這邊<br>而<%me>呢，就去負責那邊。<br>有必要的時候，再互相協助一下。"""
un_044050_0140#0,"""所謂夥伴，不就是該這樣嘛？"""
un_044050_0150#0,"""所以你這次能回來，我真的<br>感覺非常可靠，也很開心哦！"""
un_044050_0160#0,"""……唔！<br>有聲音在什麼地方呼喚我的幫助！<br><%me>！那就再會啦！"""
