st_065080_0930#0,"""龍晶、和灰之粒子<br>演算包囲、完成！"""
st_065080_0940#0,"""……好吧。<br>準備工作到此結束。<br>接下來就拜託你了、少名比売。"""
st_065080_0950#0,"""交給我吧！"""
st_065080_0960#0,"""什麼……！？"""
st_065080_0962#0,"""這裏！"""
st_065080_0963#0,"""哇！"""
st_065080_0966#0,"""……現在這個、是灰！？"""
st_065080_0970#0,"""咔咔、表情終於改變了啊。<br>終之女神。"""
st_065080_0980#0,"""……少名比売！"""
st_065080_0990#0,"""你是……哈魯古丹星的神子。<br>被星球束縛的存在、爲什麼會在這裏！"""
st_065080_1000#0,"""真是的。<br>……雖然有人介紹說他很擅長作弊<br>但我沒想到他竟然會模倣我的灰。"""
st_065080_1010#0,"""由阿露瑪產生、夏歐複製的<br>灰的圓環包裹着這個宙域。<br>因此、転移也很容易。"""
st_065080_1020#0,"""好像、ARKS的総攻撃<br>你沒有注意到。"""
st_065080_1030#0,"""……呵呵、哈哈哈。<br>無論到哪裡都能讓我愉悅。"""
st_065080_1040#0,"""但是、無論採取怎樣的奸計<br>絕對的力量差距是無法彌補的。<br>只是在虛耗時間。"""
st_065080_1050#0,"""以你這種程度的力量<br>無法阻擋我的力量！"""
st_065080_1060#0,"""這我當然知道！<br>而且、爲什麼會來這裏<br>你知道嗎！"""
st_065080_1070#0,"""這是……灰的風中、龍晶……！"""
st_065080_1080#0,"""<%me>、瑪托依。<br>這是、我能找到的<br>最後的作戦計劃。"""
st_065080_1090#0,"""ARKS的的全部力量<br>……現在、就交給你們了！"""
st_065080_1100#0,"""這是……！　這個、力量……！<br>多麼令人厭惡的景象……！"""
st_065080_1110#0,"""這是……和光子族<br>犯下的錯誤一樣<br>為什麼沒有注意到呢！"""
st_065080_1120#0,"""這不是錯誤"""
st_065080_1130#0,"""這不是錯誤。"""
st_065080_1140#0,"""這是、阻止的力量"""
st_065080_1150#0,"""這是、阻止的力量。"""
st_065080_1160#0,"""……既然如此、那就来阻止吧。<br>認清這股力量的結局、就好了！"""
