IncidentName#0,"""從燈裡面冒出！"""
TrialBeginMsg#0,"""在時間內擊破Mr.普旺！<br>根據給予的傷害高低會影響獎勵的量！"""
TrialAbstract#0,"""在時間內擊破Mr.普旺！"""
NpcComOnPreBegin#0,"""新たな熱源反応が接近！<br>注意してください、来ます！"""
NpcComOnBegin#0,"""/face2 啊！ Mr.普旺呢！<br>好像攻擊它給予它足夠的光子<br>就會發生好事哦？"""
NpcComOnSuccess#0,"""/face2 可以給予Mr.普旺<br>很多光子呢！<br>有沒有什麼好處呢？"""
NpcComOnFailure#0,"""給予Mr.普旺的光子量<br>有點不夠的樣子呢……<br>別在意繼續進行任務吧。"""
StruckJackBox#0,"""Mr.普旺的心情是很陰晴不定的<br>轉眼間就會不知道消失在哪裡！<br>請持續著攻擊！"""
NpcComOnPreBegin#1,"""こいつは新たな熱源反応だな。<br>油断するなよ、これはでかいぞ。"""
NpcComOnBegin#1,"""/face2 Ｍｒ．ボワンの反応を確認した！<br>攻撃を行う事でフォトンを与えると<br>良い事が有ると報告されている。"""
NpcComOnSuccess#1,"""/face2 Ｍｒ．ボワンにフォトンを<br>大量に与えることができたな！<br>報告通りの利益は得られたか？"""
NpcComOnFailure#1,"""Ｍｒ．ボワンへのフォトンが<br>まだまだ足りなかったようだな。<br>各員、通常任務に戻れ。"""
StruckJackBox#1,"""Ｍｒ．ボワンは気まぐれだ！<br>すぐにどこかへ行ってしまうから<br>どんどん攻撃して行け！"""
NpcComOnPreBegin#2,"""この熱源反応は異常ですよ！<br>ほんとうに気をつけてください！"""
NpcComOnBegin#2,"""/face2 あっ！\u3000Ｍｒ．ボワンですよー！<br>攻撃してフォトンを十分に与えると<br>イイ事があるみたいですよ？"""
NpcComOnSuccess#2,"""/face2 Ｍｒ．ボワンにフォトンを<br>いっぱい与える事ができましたね！<br>ご利益はありましたか？"""
NpcComOnFailure#2,"""Ｍｒ．ボワンへのフォトンが<br>少し足りなかったようですね……<br>気にせず任務を続けてください。"""
StruckJackBox#2,"""Ｍｒ．ボワンは気まぐれなので<br>すぐにどこかに消えちゃいます！<br>どんどん攻撃しちゃってください！"""
NpcComOnPreBegin#3,"""周囲への警戒を強めてください。<br>新たな反応が感知されています。"""
NpcComOnBegin#3,"""/face2 Ｍｒ．ボワンを発見しました。<br>速やかに攻撃でフォトンを十分に与え<br>いい事を起こしましょう。"""
NpcComOnSuccess#3,"""/face2 Ｍｒ．ボワンにフォトンを<br>十分に与えることができました。<br>いい事は起こりましたか？"""
NpcComOnFailure#3,"""Ｍｒ．ボワンへのフォトンが<br>不十分だったようです……<br>通常任務へ戻ってください。"""
StruckJackBox#3,"""Ｍｒ．ボワンは気まぐれです。<br>どこかに行ってしまう恐れがある為<br>積極的に攻撃していってください。"""
NpcComOnPreBegin#4,"""周辺、警戒してください！<br>不審な反応があります！"""
NpcComOnBegin#4,"""/face2 あれ！\u3000Ｍｒ．ボワンですね！<br>攻撃でフォトンを与える事によって<br>良い事が起こるそうですよ！"""
NpcComOnSuccess#4,"""/face2 Ｍｒ．ボワンにフォトンを<br>たくさん与えることが出来たようです。<br>良い事は起こりましたか？"""
NpcComOnFailure#4,"""Ｍｒ．ボワンへのフォトンが<br>足りなかったようですね。<br>通常任務に戻ってください。"""
StruckJackBox#4,"""Ｍｒ．ボワンは気まぐれですよ！<br>すぐどこかに行ってしまうので<br>たくさん攻撃してください。"""
NpcComOnPreBegin#5,"""周辺、警戒してください！<br>不審な反応があります！"""
NpcComOnBegin#5,"""/face2 あれ！\u3000Ｍｒ．ボワンですね！<br>攻撃でフォトンを与える事によって<br>良い事が起こるそうですよ！"""
NpcComOnSuccess#5,"""/face2 Ｍｒ．ボワンにフォトンを<br>たくさん与えることが出来たようです。<br>良い事は起こりましたか？"""
NpcComOnFailure#5,"""Ｍｒ．ボワンへのフォトンが<br>足りなかったようですね。<br>通常任務に戻ってください。"""
StruckJackBox#5,"""Ｍｒ．ボワンは気まぐれですよ！<br>すぐどこかに行ってしまうので<br>たくさん攻撃してください。"""
