Title#0,"""採掘基地防衛戦：絶望"""
Explanation#0,"""緊急聯絡ARKS各位成員。<br>在莉莉芭行星的採掘基地附近<br>已發現多個強力的黑暗種的反應。<br>敵軍滲透已深，狀況十分不樂觀。<br>但我們不能放棄。<br>使用使用新開發的據點防衛用<br>A.I.S迎擊黑暗種。<br>――――――――――――――――――――<br>全8攻勢<br>失敗條件/全據點陷落"""
SimpleExplanation#0,"""防衛採掘基地！"""
Wave1_Talk#0,"""黑暗種出現了！<br>也確認將侵襲防衛點。<br>請全員集合一起幹掉敵人！"""
Wave2_Talk#0,"""確認黑暗種的砲台！<br>請呼叫A.I.S，<br>將敵人擊退吧！"""
Wave3_Talk#0,"""確認上空有未確認反應！<br>或許會有什麼出現，<br>請注意！"""
Wave4_Talk#0,"""從複數據點傳來反應！<br>未免同時遭到侵襲，<br>要警戒、警戒唷！"""
Wave5_Talk#0,"""又出現新的反應！<br>或許也會發生黑暗種的阻絕！<br>要嚴加注意！"""
Wave6_Talk#0,"""這是最後……但怎麼<br>好像還有別的反應……？<br>總、總之請加油！"""
Wave7_Talk#0,"""哇哇、哇哇哇！？這是什麼！<br>這麼強烈的敵人反應，是第一次！<br>請嚴加小心注意！"""
Wave8_Talk#0,"""好、好像會出現非常強大<br>的敵人！不過這應該就是<br>最後了！請加油！"""
Wave1_Talk_Cool#0,"""在區域的四角好像出現了<br>許多的正結晶！只要使用<br>彈射器就可以輕鬆回收唷！"""
Wave2_Talk_Cool#0,"""如果放棄被襲擊的點不管的話，<br>或許會發生黑暗種的砲台。<br>請注意！"""
Wave3_Talk_Cool#0,"""這個採掘基地有很多<br>可使用的機能！請啓動防護罩<br>或耐久值回復！"""
Wave4_Talk_Cool#0,"""噢噢！正結晶的光輝好像<br>有點變強了！<br>快多多回收吧！"""
Wave5_Talk_Cool#0,"""好像正襲擊過來……<br>趁現在淨化被侵蝕的點後，<br>準備下一次襲擊！"""
Wave6_Talk_Cool#0,"""下一波反應似乎很大！<br>A.I.S的準備好了麼？<br>也不要忘記超蓄力砲塔！"""
Wave7_Talk_Cool#0,"""辛苦了！<br>這樣防衛就結束了……欸？<br>請等一下，剛剛有什麼反應……"""
Wave8_Talk_Cool#0,"""在下一次侵擊來之前，<br>請大量回收正結晶！<br>這次的反應非常地不妙！"""
NpcComMsg1#0,"""まもなく状況開始です！\u3000既に侵食が<br>かなーり進んじゃっているようなので<br>くれぐれも注意してくださいっ！"""
NpcComMsg2#0,"""こういう時は、A.I.Sで<br>敵さんを蹴散らしちゃいましょう！<br>それでは、ご武運を！"""
a1#0,"""完成特定的委託"""
a2#0,"""完成特定的委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
a4#0,"""持有超級困難（SH）接受許可證"""
