st_055040_0010#0,"""......【巨軀】出現之後<br>又是盧瑟麼。"""
st_055040_0020#0,"""就像是在重現<br>這邊世界發生過的事一樣。"""
st_055040_0030#0,"""......夏歐，在歐米茄發生的事<br>真的是阿卡西記錄<br>雜亂的記錄什麼的麼。"""
st_055040_0040#0,"""再現的事都是獨立的零碎的片段。<br>但是，這些事之間又有着聯繫。<br>......很強烈的聯繫。"""
st_055040_0050#0,"""還涉及到光子族。"""
st_055040_0060#0,"""對。簡直就像是，在體驗<br>和光子族有關的誰的記憶一樣。<br>......非常得不舒服。"""
st_055040_0070#0,"""記憶也是記錄。<br>我想這應該就是阿卡西記錄的<br>記錄再現沒錯。"""
st_055040_0080#0,"""只不過，可能由於未知因素的介入<br>而導致事情進展的方向發生偏轉也說不定。"""
st_055040_0090#0,"""就跟夢差不多，會受之前<br>讀過的東西或者遇到的人的影響而改變不是嘛。<br>就跟那個情況是差不多的感覺。"""
st_055040_0100#0,"""然後因爲【深遠之暗】混進來了<br>所以就發生了與之相關聯的事件，這樣？"""
st_055040_0110#0,"""嗚。<br>沒有確實的證據<br>只能說有這個可能性了。"""
st_055040_0120#0,"""或者說，因爲與<%me>和<br>雪拉有了關係<br>所以才會與這邊有着聯繫，麼......"""
st_055040_0130#0,"""不過不管怎麼說，都不能放着不管。<br><%me>和雪拉就拜託你們<br>繼續調查歐米茄那邊的情況了。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
