Kuro_favs_before_010#0,"""咦！<br><%me><br>你來得正是時候，喵！"""
11_voice_NPC_5069_100#0,"""這個送給你，喵。"""
11_voice_NPC_5069_101#0,"""我是很慷慨的！<br>要好好使用喔，喵！"""
Kuro_favs_after_020#0,"""那就拜拜，喵～。"""
Kuro_favs_present_010#0,"""得到黑樂貓給予的『合成器』。"""
Kuro_favs_present_020#0,"""得到黑樂貓給予的『卓越砲擊』。"""
Kuro_favs_present_030#0,"""得到黑樂貓給予的『零距離砲擊』。"""
Kuro_favs_present_040#0,"""得到黑樂貓給予的『合成器』。"""
Kuro_favs_present_050#0,"""得到黑樂貓給予的『榴彈風暴』。"""
Kuro_favs_present_060#0,"""得到黑樂貓給予的『零距離砲擊』。"""
Kuro_favs_present_070#0,"""得到黑樂貓給予的『合成器』。"""
Kuro_favs_present_080#0,"""得到黑樂貓給予的『武器狂毆』。"""
Kuro_favs_present_090#0,"""得到黑樂貓給予的『欺敵虛影爆』。"""
Kuro_favs_present_100#0,"""得到黑樂貓給予的『進化裝置／黑樂貓』。"""
Kuro_favs_present_add_001#0,"""クロから『<%skit_text>』を受け取りました。"""
Kuro_01_010#0,"""你好！　我是黑樂貓。"""
11_voice_NPC_5069_100#1,"""我是很酷的貓喔，喵。<br>我和多樂貓<br>一起來到這個世界<br>。"""
Kuro_01_030#0,"""其實我<br>有事情<br>想要你幫忙！"""
Kuro_01_040#0,"""可以的話，<br>希望你聽我說。"""
Kuro_02_010#0,"""這裡<br>有好多正妹<br>讓我好嗨喔，喵！"""
11_voice_NPC_5069_101#1,"""我有一天一定要變成<br>受歡迎的型男，喵～！"""
