un_020560_0010#0,"""喲，前輩。<br>很常見到你。<br>看來彼此都是大忙人。"""
un_020560_0020#0,"""人類、新人類、機器人，<br>加上魔人，種族齊全，<br>應該也遇得到其他人才是。"""
un_020560_0030#0,"""不過，俺卻總是遇到前輩。<br>偶然麼......應該說是命運，<br>聽起來比較浪漫喔？　哈哈。"""
un_020560_0040#0,"""......不過，打開ARKS的歷史，<br>還真的有很多無法用偶然二字<br>說的清的事情呢。"""
un_020560_0050#0,"""魔人的來歷也是。"""
un_020560_0060#0,"""不知道是多久之前的故事，<br>某一天，突然從空間裂縫當中<br>出現了生物的殘骸。"""
un_020560_0070#0,"""我只不過是看了這筆記錄而已，<br>但覺得這東西實在不是<br>那個時代應有的物件。"""
un_020560_0080#0,"""類似龍的皮膚，<br>又有如黑暗種般的遺骸。<br>以此為參考進行實驗之下......"""
un_020560_0090#0,"""得到的完成品，就是咱們。"""
un_020560_0100#0,"""......然後，<br>接下來的只對你一個人說。"""
un_020560_0110#0,"""那個遺骸，<br>與之前那暴走龍的軀體組織<br>極為類似。"""
un_020560_0120#0,"""......真是的，<br>哪會有這麼奇妙的偶然啊。"""
un_020560_0130#0,"""不過，也是托它的福<br>咱們才能誕生到這個世間，<br>俺是不太介意啦。"""
