Farma_010#0,"""承接公會委託<br>已確認囉！"""
Farma_020#0,"""有緣再見。<br>麻煩囉！"""
Ena_010#0,"""確認承接公會委託。<br>那麼，一切拜託了。"""
Toria_010#0,"""......呀，這樣哦。<br>......那件委託，要做呀。"""
Toria_020#0,"""......嗯哼。<br>......那...加油囉！"""
Bende_010#0,"""什麼，那件委託，已經做了囉？"""
Bende_020#0,"""是的，完成受理了呢！<br>有勞了，加油哦！"""
Anya_010#0,"""是，聽說已經接了那件委託？<br>真的接受了麼？"""
Anya_020#0,"""可以的話，不要阻止...<br>雖然只是說說，真的請原諒！"""
Mizen_010#0,"""已接受委託了。<br>那麼，請多指教了。"""
Tessela_010#0,"""公會委託的承接登錄<br>已完成了！"""
Tessela_020#0,"""那麼，請加把勁<br>完成吧！"""
Zio_010#0,"""原來如此，那件委託<br>要承接麼？"""
Zio_020#0,"""那麼，路上小心哦！"""
Kusui_010#0,"""啊～，承接公會委託麼？<br>是的是的，已經承接了。"""
Kusui_020#0,"""那麼，加油囉～。"""
Bianca_010#0,"""承接這方面的委託<br>報告一下？"""
Bianca_020#0,"""那麼，順利平安哦！"""
Ricardo_010#0,"""承接委託，<br>我們來做可以吧？"""
Ricardo_020#0,"""千萬千萬不要太勉強呢！"""
Suzuran_010#0,"""這項委託真的可以麼？"""
Suzuran_020#0,"""沒問題的，那還用說。"""
Rappy_010#0,"""嘻嘻！"""
Lillipa_010#0,"""里里！"""
