IncidentName#0,"""破壞侵蝕戰鬥機"""
TrialBeginMsg#0,"""破壞被黑暗種侵蝕的戰鬥機！"""
EnemyAppearMsg#0,"""$(0)方向出現敵人！"""
TrialEvolutionBeginMsg_ReLanding#0,"""在修理完畢之前，請再次防衛戰鬥機！"""
TrialEvolutionBeginMsg_ShootDarkerHeli#0,"""破壞被黑暗種侵蝕的戰鬥機！"""
TrialAbstract#0,"""在限制時間內破壞被黑暗種侵蝕的戰鬥機！"""
NpcComOnBegin#0,"""/face3 怎麼會發生這種事<br>戰鬥機遭到黑暗種侵蝕了"""
NpcComOnBegin2#0,"""不過，侵蝕狀態還不完全。<br>那麼，就這樣交到牠們手中"""
NpcComOnHp50#0,"""侵蝕程度擴大，敵意增強了。<br>戰鬥機發動的攻擊更激烈了"""
NpcComOnHp10#0,"""戰鬥機<br>受到了極大損傷。"""
NpcComOnLanding#0,"""未使用"""
NpcComOnTimeNotice#0,"""侵蝕狀態相當嚴重<br>這樣下去戰鬥機會被搶走的"""
NpcComOnSuccess#0,"""（直升機擊墜成功）"""
NpcComOnFailure#0,"""確認戰鬥機的反應已經消滅。牠們想用戰鬥機做什麼"""
