st_056190_0010#0,"""……嗯，和【若人】有關的<br>四個人被召喚了。"""
st_056190_0020#0,"""要是平時你這麼告訴我是另一個世界<br>我肯定會覺得難以置信……<br>不過都親身體驗了也沒辦法不信了。"""
st_056190_0030#0,"""那個召喚出<br>【若人】四人的了不起的孩子呢？"""
st_056190_0040#0,"""我還以爲是跟歐若拉<br>有很深關係的人呢……"""
st_056190_0050#0,"""畢竟我是最初的【若人】<br>根據發生的事來看<br>很可能跟我有關也不奇怪。"""
st_056190_0060#0,"""不過如你所見，真的和我沒關係。<br>當然我也不認識<br>那邊的那個大笨蛋。"""
st_056190_0070#0,"""啊ー，又說我是笨蛋！<br>要說幾次不敬你才能理解啊，笨蛋！"""
st_056190_0080#0,"""煩死了！<br>不對笨蛋說笨蛋的話是行不通的啊！<br>因爲是笨蛋啊！"""
st_056190_0090#0,"""……某些方面來看的話<br>倒是像極了呢。"""
st_056190_0100#0,"""也有同族厭惡這個詞呢。<br>都是被能選爲【若人】的存在<br>所以性格也差不多吧。"""
st_056190_0110#0,"""說起來，我們要怎麼做<br>才能返回ARKS戰艦呢？"""
st_056190_0120#0,"""啊……確實。<br>其他人因爲被打敗了所以就被解放了<br>然後就返回原來的世界了……"""
st_056190_0130#0,"""誒，不痛一次不行麼？<br>我可沒那種奇怪的愛好啊。"""
st_056190_0140#0,"""以前，好像有一個人說過<br>「痛即是救贖」這樣的話呢。"""
st_056190_0150#0,"""尤克妹，太多嘴了！<br>……召喚了我們的笨蛋王<br>快給我想辦法。"""
st_056190_0160#0,"""返、返回的方法我怎麼可能知道啊！<br>別說那個了，我連怎麼召喚的<br>都不太懂ー啊！"""
st_056190_0170#0,"""別突然當真啊！"""
st_056190_0180#0,"""嘛、嘛嘛。<br>兩位先冷靜下來。"""
st_056190_0190#0,"""有召喚術的手法的話<br>在同一個場所使用同一個召喚陣的話<br>應該就可以回去了。"""
st_056190_0200#0,"""啊、這樣的話，王宮，去王宮！<br>我們快走吧！<br>而且還要趕快解除退避令才行！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
