un_012430_0010#0,"""嗨嗨，是你啊！　你好啊！"""
un_012430_0020#0,"""最近我覺得整個ARKS的氣氛<br>欠缺活力！<br>所以見到一個人就會確認一下！"""
un_012430_0030#0,"""先是黑暗法爾斯的復活，<br>接著出現不明暴走龍。<br>唉，我能體會那消沉的心情！"""
un_012430_0040#0,"""但是，如果一直消沉下去<br>那是三流的行為！"""
un_012430_0050#0,"""我們ARKS<br>可全都是一流！　不是三流！<br>是專業的！"""
un_012430_0060#0,"""我們接獲命令，<br>服從命令，更必須自我思考、<br>自我行動！"""
un_012430_0070#0,"""根據上頭提供的情報，<br>遵從別人下達的命令，<br>這樣很輕鬆！　我不否認！"""
un_012430_0080#0,"""但是，你可別忘了！<br>在那之中是否存在正義，<br>這才是最重要的！"""
un_012430_0090#0,"""經常抱持無可動搖的自我正義！<br>而且篤信不移！<br>過分相信也不打緊，那也是自信！"""
un_012430_0100#0,"""如此，你將不會迷失。<br>就算迷惘，只要順從自己的心<br>就可以了。"""
un_012430_0110#0,"""嚄！　不行的不行的！<br>竟然開始感傷起來了！"""
un_012430_0120#0,"""這種時候，就該不斷的<br>伸張自我正義！<br>所謂正義，就是助人！"""
un_012430_0130#0,"""那我直接趕赴遊擊去了！<br>那麼，再會了！"""
