name01#0,"""希爾達"""
name02#0,"""チャージテクニックの使用"""
11_voice_navi02_109#0,"""下個階段是法術攻擊中的<br>蓄力攻擊。"""
text00#0,"""關於『蓄力法術』"""
text01#0,"""教學<br>說明關於『蓄力法術』。<br><br>不單只是發動法術本身，還可以長按發動鍵<br>來累積能量，釋放出增強威力與效果範圍的蓄力法術。"""
text100#0,"""長按住<%PhotonArts>發動蓄力法術！"""
text1000#0,"""長按住<%PhotonArts>來發動！"""
text201#0,"""チャージテクニックを放て！"""
text202#0,"""チャージテクニックを放て！"""
text203#0,"""チャージテクニック：<br><%PhotonArts>を押し続けて放す"""
text204#0,"""チャージテクニック：<br><%PhotonArts>を長押しして放す"""
11_voice_navi02_109#1,"""下個階段是法術攻擊中的<br>蓄力攻擊。"""
text00#1,"""關於『蓄力法術』"""
text01#1,"""チュートリアル<br>『チャージテクニック』について説明します。<br><br>テクニックはただ発動するだけでなく、<br>長押しすることで力を溜め、威力や効果範囲を高めた<br>チャージテクニックを放つことができます。"""
text02#0,"""蓄力法術除了可提高威力，<br>還會依種類的不同，加強效果範圍或是效果次數。<br><br>若應用在發動火炎攻擊的法術「火球術」時，<br>將可大幅提升爆炸範圍與威力，在被敵人圍攻的<br>情況下是很有效的作戰方式。"""
text03#0,"""應用在發動恢復法術「治療結界」時，<br>將可大幅提升恢復範圍與恢復次數。<br><br>在多人數的隊伍作戰的場合中是很有效的寶貴戰術。"""
text04#0,"""發動蓄力法術時所消耗的PP與<br>發動一般法術時是一樣的，<br>身為容易消耗PP的元素使，若能活用蓄力法術，<br>應該就能夠在戰場上靈巧發揮。"""
text100#1,"""長按住<%PhotonArts>發動蓄力法術！"""
text1000#1,"""長按住<%PhotonArts>來發動！"""
