st_051060_0010#0,"""不要動！"""
st_051060_0020#0,"""……可惡！"""
st_051060_0030#0,"""還有時間……！<br>但是，捉迷藏就到這裏了！"""
st_051060_0040#0,"""國王説了，不管死活！<br>上！"""
st_051060_0050#0,"""什麼！？"""
st_051060_0060#0,"""不要把本宮看的那麼低。<br>這本宮還是會一點的。"""
st_051060_0070#0,"""切，腐化了也是王族……！"""
st_051060_0080#0,"""但是，鄙視是互相的，公主大人！"""
st_051060_0090#0,"""召喚陣……！？<br>魔術士在追本宮！？"""
st_051060_0100#0,"""可惡！"""
st_051060_0110#0,"""（……快逃！）"""
st_051060_0120#0,"""嗯……！？<br>你到底是……？"""
st_051060_0130#0,"""？？，你小子誰！？"""
st_051060_0140#0,"""無所謂，礙事的東西就一起殺掉吧！"""
st_051060_0150#0,"""又是徒花……！<br>請注意，敵人要攻上來了！"""
st_051060_0160#0,"""呀……你們倆小鬼！<br>果然，這東西才是最好的！"""
st_051060_0170#0,"""喂，召喚獣！<br>快解決那兩個可惡的小鬼！"""
st_051060_0180#0,"""除了殲滅更多的敵人，沒有別的方法了。<br>合作，可以麼？"""
name01#0,"""兵士"""
name02#0,"""？？？"""
skit01#0,"""The Stranger"""
skit02#0,"""在伸出救援之手的那個地方"""
