st_054010_0002#0,"""由於哈莉艾特成爲了魔道國昆特的新國王<br>國內也慢慢迴歸了和平。"""
st_054010_0004#0,"""但是，哈莉艾特的目標<br>並不僅僅是平定國家的不和。"""
st_054010_0006#0,"""新生昆特以排除侵蝕世界的徒花<br>爲目標開始了活動。"""
st_054010_0010#0,"""首先，整理一下周邊各國的狀況吧。<br>拜託了，瓦爾納。"""
st_054010_0020#0,"""這個大陸，有分得很開的<br>分別位於東西南北方向的四個國家。"""
st_054010_0030#0,"""在東方的是伊斯＝阿魯斯通商聯盟國。<br>是一個商人利用肥沃的土地和資源<br>進行買賣、集合體的國家。"""
st_054010_0040#0,"""特有的技術是增殖魔法。<br>好像是利用徒花的力量，<br>可以大量增殖作物什麼的。"""
st_054010_0050#0,"""就這種程度的話，聽起來倒是挺和平的。<br>嘛，除了使用徒花外<br>還有什麼內幕呢。"""
st_054010_0060#0,"""在西方的是神國艾匹克。<br>聚集着進行嚴酷的修行的求道者。<br>以綠洲爲中心成立的國家。"""
st_054010_0070#0,"""在艾匹克，有成功煉成過<br>能夠操縱人心的祕藥的傳聞。<br>當然是使用了徒花。"""
st_054010_0080#0,"""坐落於北方的是威倫皇國。<br>每一代皇帝都是從國內選拔出的最強者。<br>武士的國家。"""
st_054010_0090#0,"""野蠻危險，全是笨蛋的國家。<br>有過強化肉體以至於<br>魔人化的事情出現。"""
st_054010_0100#0,"""接下來就是在南方的我國，魔道國昆特。<br>主要是和自然共生，致力於<br>活用魔力的國家。"""
st_054010_0110#0,"""是只在魔道研究有進展的國家。<br>我開發的魔神城<br>本來也只是昆特特有的東西。"""
st_054010_0120#0,"""……不過，不知道是誰<br>泄露了這個技術。<br>導致被各國都掌握了。"""
st_054010_0130#0,"""昆特內的魔神城在守護輝士殿下<br>的協助之下挨個被擊破了。"""
st_054010_0140#0,"""但是，各國管理的魔神城。<br>以及在國境線上的都依然健在。"""
st_054010_0150#0,"""各國的魔神城互相對峙着。<br>因此國家之間的交流基本都斷絕了。"""
st_054010_0160#0,"""現在根本不知道<br>各國國內是何種情況。"""
st_054010_0170#0,"""如果隨便入侵的話<br>魔神城馬上就會<br>排除掉侵入者。"""
st_054010_0180#0,"""做出那種愚蠢行爲的人<br>應該不存在吧。"""
st_054010_0190#0,"""報告！<br>威倫國境線上的魔神城起動了！<br>好像有誰接近了那邊的樣子！"""
st_054010_0200#0,"""……沒想到這個世上還真有<br>做出如此愚蠢行爲的人啊。"""
st_054010_0210#0,"""可能是來自威倫的使者。<br>快點趕去國境吧。"""
skit01#0,"""The Destruction and Struggle"""
skit02#0,"""走向滅亡的國家"""
name01#0,"""士兵"""
name02#0,"""？？？"""
