un_041020_0010#0,"""……Beautiful。<br>這真是太美了。<br>你不這麼覺得嗎？"""
un_041020_0020#0,"""它這無可挑剔的外觀。<br>它這柔軟而手感出眾<br>除了完美之外，沒有詞語可以形容的毛髮。"""
un_041020_0030#0,"""而且最為重要的，是這深愛著我<br>還一直依偎在我身旁的，它順從的身姿！<br>恩恩恩……elegant！"""
un_041020_0040#0,"""……你在說什麼？"""
un_041020_0050#0,"""你是誰？"""
un_041020_0060#0,"""怎麼會！我都說到這地步上了<br>你還不明白我在說些什麼嗎？"""
un_041020_0070#0,"""恩恩？倒不如說你是誰？<br>抱歉失禮了，我對我的孩子們之外的人<br>基本上都是不感興趣的。"""
un_041020_0080#0,"""抱歉抱歉，我失禮了！說起來你是誰啊？<br>你別誤會，我沒有惡意。我對我的孩子們之外的人<br>基本上都是不感興趣的。"""
un_041020_0090#0,"""我的名字叫皮埃托洛！<br>而這邊這位，是我親愛的凱瑟琳！"""
un_041020_0100#0,"""看你有點面生呢……<br>既然如此，就讓我給你介紹一下吧！<br>介紹一下我親愛的這孩子！也介紹一下召喚師！"""
un_041020_0110#0,"""召喚師，是最近ARKS所設立的<br>一個全新職業，一個全新的選項！"""
un_041020_0120#0,"""而它最大的特點，就是這些孩子們！<br>召喚師，是會帶著自己親愛的孩子<br>前赴戰場的！"""
un_041020_0130#0,"""雖然大家都管它們叫寵物……<br>可對我而言，它們都是些值得憐愛的孩子<br>是無可替代的小可愛！"""
un_041020_0140#0,"""在召喚師專用的武裝『奏具』的指揮下<br>華麗而優美地，奏響起殲滅的和聲……<br>……這就是召喚師這個職業了。"""
un_041020_0150#0,"""……如何？你是不是了解了？<br>而且你也應該想親身試試看了對不對？"""
un_041020_0160#0,"""哈哈哈，用不著這麼客氣！<br>多多試試召喚師吧！"""
un_041020_0170#0,"""畢竟我設立這個職業，就是為了能將<br>懷抱這些孩子們的幸福，分享給更多的人！"""
un_041020_0180#0,"""好疼！哈哈哈凱瑟琳！<br>你這個小淘氣！"""
un_041020_0190#0,"""恩恩，我明白了我明白了。<br>那我們就差不多去Cafe那邊吧。"""
un_041020_0200#0,"""那我就先告辭了。<br>你就盡情享受美妙的召喚師生活吧！"""
un_041020_0210#0,"""啊哈哈，乖，凱瑟琳！<br>不用這麼著急食物也是不會逃走的！<br>好痛好痛別咬我了你這小傢伙！"""
