Title#0,"""大海に顕れし鋼鉄の巨艦"""
Explanation#0,"""在行星・地球的日本近海<br>再次發生巨大幻創種的反応。<br>此次反應遠比之前的強力得多<br>據推測進行本次任務<br>伴隨著極大的危險。因此只有具有相當實力的<br>ARKS才能進行本次任務。<br>――――――――――――――――――――<br>任務可完成次數/$(0)次<br>排行榜期間/從任務発生開始的1小時30分<br>失敗條件/超過限制的時間"""
SimpleExplanation#0,"""撃退幻創戦艦・大和！"""
a1#0,"""完成特定的委託"""
a2#0,"""完成特定的委託"""
a3#0,"""持有超級困難（SH）接受許可證"""
a4#0,"""持有超級困難（SH）接受許可證"""
NpcComMsg1#0,"""再次出現的目標已經<br>開始向都市區域移動了。<br>沒有太多時間猶豫了。"""
NpcComMsg2#0,"""希望再一次搭上A.I.S出撃<br>並且撃退目標。<br>因為連續作戰，請小心。"""
Area0S#0,"""日本近海"""
Area0L#0,"""行星・地球\u3000日本近海"""
Area1S#0,"""日本近海"""
Area1L#0,"""行星・地球\u3000日本近海"""
