un_045030_0010#0,"""我這邊確認到的資料就這些。<br>就眼下而言，跟預想沒什麼太大區別。"""
un_045030_0020#0,"""……好吧。<br>但別忘了，無論是光子還是以太<br>都會受到感情的強烈影響。"""
un_045030_0030#0,"""即便是要繼續交流，也要謹慎些。<br>還請你切記，一定要獲得正確無誤的情報。"""
un_045030_0040#0,"""我明白了，次席。"""
un_045030_0050#0,"""你們兩個在說什麼呢？"""
un_045030_0060#0,"""你們這組合還真稀奇"""
un_045030_0070#0,"""……！<br>你看得見次席……？！"""
un_045030_0080#0,"""<%me>……<br>您究竟是何方神聖？"""
un_045030_0090#0,"""這沒問題，愛花。<br>畢竟<%me><br>都已經掌握我們的全部資料了。"""
un_045030_0100#0,"""原來是這樣麼……？<br>可是，真的有人……能看得見次席嗎？"""
un_045030_0110#0,"""……總覺得有點懷念啊。<br>跟<%me>初次見面的時候<br>記得我也露出過這樣的反應來著。"""
un_045030_0120#0,"""……次席。若是有這種情報<br>還是希望您能事先與我共享一下。"""
un_045030_0130#0,"""可畢竟我也是有秘密的啊。"""
un_045030_0140#0,"""愛花你不是也有麼？<br>就比如，潛入地球時的活動之類的。"""
un_045030_0150#0,"""……逸樹和理奈他們的事情<br>又不算是秘密。"""
un_045030_0160#0,"""我還收到過你在那邊活動的時候<br>打扮成服務生的圖像呢。"""
un_045030_0170#0,"""……！<br>這種東西是從哪裡收到的……！"""
un_045030_0180#0,"""它自己發過來的啊。<br>就從卡斯拉那兒。"""
un_045030_0190#0,"""……嘖！<br>我突然有急事要處理，暫且失陪……！"""
un_045030_0200#0,"""<%me>。<br>抱歉打擾到你了。"""
un_045030_0210#0,"""愛花她心心念念著地球<br>我正擔心她會不會努力過頭了呢。<br>所以這對她而言，也算是個喘了口氣吧。"""
un_045030_0220#0,"""而且，要是那個陰險眼鏡男也受了慘<br>那就更是好事成雙了。"""
