IncidentName#0,"""撃退幻創戦艦・大和！"""
TrialBeginMsg#0,"""規定時間内撃退幻創戦艦・大和！"""
TrialAbstract#0,"""規定時間内撃退幻創戦艦・大和！"""
NpcComOnBegin#0,"""緊急通知！確認到了強大的敵人的反應！<br>請盡快處理！"""
NpcComOnSuccess#0,"""確認敵人的反應消失！<br>幹得漂亮！"""
HP_Under_50#0,"""$(0)剩餘HP不多了！"""
HP_Under_10#0,"""$(0)剩餘HP，還剩一點！"""
NpcComOnBeginNext#0,"""……大和的周圍發現屏障！<br>攻撃好像無法穿透。<br>但是在某個地方一定會有弱點"""
NpcComOnBreakBarrier#0,"""覆蓋著大和的屏障好像被剝離了！ <br>一口氣撃破哦！"""
NpcComOnDeathblow#0,"""從戰艦大和檢測到高能量反應！ <br>好像有什麼要來了，請小心！"""
NpcComOnBegin#1,"""緊急通知！確認到了強大的敵人的反應！<br>請盡快處理！"""
NpcComOnSuccess#1,"""確認敵人的反應消失！<br>幹得漂亮！"""
HP_Under_50#1,"""$(0)剩餘HP不多了！"""
HP_Under_10#1,"""$(0)剩餘HP，還剩一點！"""
NpcComOnBeginNext#1,"""……大和的周圍發現屏障！<br>攻撃好像無法穿透。<br>但是在某個地方一定會有弱點"""
NpcComOnBreakBarrier#1,"""覆蓋著大和的屏障好像被剝離了！ <br>一口氣撃破哦！"""
NpcComOnDeathblow#1,"""從戰艦大和檢測到高能量反應！ <br>好像有什麼要來了，請小心！"""
NpcComOnBegin#2,"""緊急通知！確認到了強大的敵人的反應！<br>請盡快處理！"""
NpcComOnSuccess#2,"""確認敵人的反應消失！<br>幹得漂亮！"""
HP_Under_50#2,"""$(0)剩餘HP不多了！"""
HP_Under_10#2,"""$(0)剩餘HP，還剩一點！"""
NpcComOnBeginNext#2,"""……大和的周圍發現屏障！<br>攻撃好像無法穿透。<br>但是在某個地方一定會有弱點"""
NpcComOnBreakBarrier#2,"""覆蓋著大和的屏障好像被剝離了！ <br>一口氣撃破哦！"""
NpcComOnDeathblow#2,"""從戰艦大和檢測到高能量反應！ <br>好像有什麼要來了，請小心！"""
NpcComOnBegin#3,"""緊急通知！確認到了強大的敵人的反應！<br>請盡快處理！"""
NpcComOnSuccess#3,"""確認敵人的反應消失！<br>幹得漂亮！"""
HP_Under_50#3,"""$(0)剩餘HP不多了！"""
HP_Under_10#3,"""$(0)剩餘HP，還剩一點！"""
NpcComOnBeginNext#3,"""……大和的周圍發現屏障！<br>攻撃好像無法穿透。<br>但是在某個地方一定會有弱點"""
NpcComOnBreakBarrier#3,"""覆蓋著大和的屏障好像被剝離了！ <br>一口氣撃破哦！"""
NpcComOnDeathblow#3,"""從戰艦大和檢測到高能量反應！ <br>好像有什麼要來了，請小心！"""
NpcComOnBegin#4,"""通知Ａ.Ｉ.Ｓ各機！<br>請盡快破壞『大和』！"""
NpcComOnSuccess#4,"""確認『大和』被撃沈！ <br>幹得漂亮！"""
HP_Under_50#4,"""『大和』的損傷、正在擴大！"""
HP_Under_10#4,"""還差最後一口氣了！　加油！ """
NpcComOnBeginNext#4,"""檢測到『大和』展開屏障！<br>能量集中在側面部分 <br>請集中攻撃該位置！"""
NpcComOnBreakBarrier#4,"""檢測到『大和』的屏障解除！<br>一口氣撃破哦！"""
NpcComOnDeathblow#4,"""檢測到『大和』高能量反應！ <br>強力的攻撃就要來了！ <br>請小心！"""
NpcComOnBeginNextNoBarrier#0,"""目標已經起動武裝了！<br>請注意！"""
NpcComOnChangeShin#0,"""這是……確認目標形態發生變化！<br>攻撃手段增加了。<br>請多加注意！"""
