st_054090_0002#0,"""礙事！"""
st_054090_0004#0,"""……打倒了！"""
st_054090_0006#0,"""哈……哈……！"""
st_054090_0010#0,"""敵方反應，全部消失……<br>埃里米爾也已經消失了。"""
st_054090_0020#0,"""……那麼，在這裏也是浪費時間。<br>快點去打倒皇帝混蛋吧。"""
st_054090_0030#0,"""嗯！<br>不祭奠一下逝去的同伴們麼……"""
st_054090_0040#0,"""沒有做那些沒用的事情的時間……<br>咳……！　咳咳咳！"""
st_054090_0050#0,"""哥德哈特！？"""
st_054090_0060#0,"""１．不要勉強"""
st_054090_0070#0,"""２．不稍微休息一下的話"""
st_054090_0080#0,"""哈，別搞笑了。<br>那樣和死了一樣。"""
st_054090_0090#0,"""哈，別搞笑了。<br>是休息一會兒就能治好的麼。"""
st_054090_0100#0,"""我們的身體，因爲魔人兵的實驗<br>都已經破爛不堪了。<br>已經沒有駐足停滯的閒暇了。"""
st_054090_0110#0,"""但是，在這種狀態下胡來的話……"""
st_054090_0120#0,"""那也沒事。<br>我們的生命，那樣就好了。"""
st_054090_0130#0,"""不是能活到什麼時候。<br>而是怎麼活才是問題。"""
st_054090_0140#0,"""我啊，我現在可不會<br>和這些被砍倒的傢伙變成一樣……！<br>必須要用這雙手打倒皇帝！"""
st_054090_0150#0,"""很高興替我們擔心<br>……我也和哥德哈特是一樣的想法。"""
st_054090_0160#0,"""而且。就算要祭奠，<br>他們都變成這樣了，誰是誰都分不清<br>……這種事，他們也不會期待的。"""
st_054090_0170#0,"""……你們非常生氣。<br>就算是我也是明白的。"""
st_054090_0180#0,"""如此非人道的事情<br>絕對沒辦法原諒。<br>……絕對要阻止他們。"""
skit01#0,"""***"""
skit02#0,"""***"""
