name01#0,"""庫菲"""
11_voice_NPC_5050_104#0,"""<%me>。<br>你辛苦了，我是管理員庫菲。"""
text02#0,"""向<%me>前進<br>特務先遣委託......執行進階任務的<br>命令發佈。"""
text03#0,"""此外，也收到關於進階任務的<br>新的委託。"""
text04#0,"""時間到了<br>請來這裡。<br>我會等你。"""
text100#0,"""關於『進階任務』"""
text101#0,"""說明關於進階任務。<br><br>進階任務是作為ARKS先遣隊<br>探索出現更強敵人的地區的任務。<br>向進階任務出發，<br>需要高級膠囊道具。<br>高級膠囊是在營地小船傳送池前的<br>大門付費的。"""
text103#0,"""アドバンスクエストでは倒したエネミーが<br>「<yellow>輝石<c>」と呼ばれるアイテムをドロップする場合があります。<br><br>輝石には種類があり、入手できる輝石は<br>アドバンスクエストごとに異なります。<br><br>輝石はアークス・ロビーの輝石交換ショップで<br>エクスキューブや強力な武器と交換することができます。"""
text104#0,"""用輝石交換的武器不僅基礎數值高，而且最初就附有不錯的特殊能力。<br><br>交換得到的武器就這麼使用也好，作爲素材使用也好，<br>多多交換武器，慢慢強化自己的角色吧。"""
text102#0,"""完成進階任務時，<br>就會計算該任務的高階風險。<br><br>高階風險累積到一定狀態後，<br>挑戰相同任務時，<br>敵人等級的上升等難易度會有變化。<br><br>高階風險會在經過一定期限後設置。<br>下次何時可設置高階風險，<br>可在任務櫃台確認。"""
linewindow001#0,"""アークスミッションが昇格！<br>次回更新から、デイリー＆ウィークリーのミッション難易度と報酬が上昇！"""
