IncidentName#0,"""$(0)擊退"""
TrialBeginMsg#0,"""在限制時間內擊退$(0)！"""
TrialAbstract#0,"""$(0)的擊退"""
NpcComOnBegin#0,"""魔物們準備妨礙・・・・・・！<br>請全部擊倒，往邪龍的所在靠近。"""
NpcComOnSuccess#0,"""邪龍封印成功。<br>非常感謝。"""
NpcComOnOpenLastFence#0,"""移動手段準備好了！<br>請前往邪龍的所在！"""
NpcComOnOuterCitadel#0,"""劍複製好了！<br>雖然不能封印邪龍，但是<br>應該可以對邪龍的鱗片造成傷害！"""
NpcComOnInnerCitadel#0,"""邪龍已經被逼到絕境了…！<br>馬上準備移動手段！<br>追上邪龍！"""
NpcComOnBattleStartOuterCitadel#0,"""邪龍飛上天空了…！<br>那裡應該有配置好大炮。<br>請使用大炮擊落邪龍！"""
NpcComOnSkillHp50#0,"""強力的攻擊就要來了！快避開！"""
NpcComOnSkillHp10#0,"""還差一點兒…！<br>加油…！"""
NpcComOnSkillHp50End#0,"""邪龍好像變弱了！<br>還差一點兒…！"""
NpcComOnSkillHp10End#0,"""阻止邪龍…！"""
NpcComOnFirstBegin#0,"""魔物們準備妨礙・・・・・・！<br>請全部擊倒，往邪龍的所在靠近。"""
