un_043070_0001#0,"""A.P.2028/x/xx"""
un_043070_0010#0,"""雪拉，我進來了哦。<br>……啊，果然<br><%me>也在啊。"""
un_043070_0020#0,"""呀，這不是莎拉小姐嘛？<br>今天是什麼事？你平時都不怎麼來這兒的。"""
un_043070_0030#0,"""我聽說<%me>回歸了<br>正好克拉莉絲克蕾絲找我<br>我就順便過來看看。"""
un_043070_0040#0,"""我聽說是捲入了麻煩事裡……<br>不過什麼嘛，比我想象的要有精神多了。"""
un_043070_0050#0,"""咦？<br>夏歐沒跟你說嗎？"""
un_043070_0060#0,"""他也只是告訴我<%me><br>回歸了而已，具體的什麼都沒說。"""
un_043070_0070#0,"""那傢伙聯絡得越來越少了。<br>……他把緣者都當成什麼了啊？<br>乾脆把這緣分給斷掉算了。"""
un_043070_0080#0,"""夏歐還好嗎？"""
un_043070_0090#0,"""…你很寂寞吧"""
un_043070_0100#0,"""這問題我才想問呢。<br>他好像一直都窩在母艦中樞裡搞演算<br>所以應該沒什麼問題吧。"""
un_043070_0110#0,"""而且戰艦的管理什麼的<br>他好像也全都甩給了雪拉來做，是吧？"""
un_043070_0120#0,"""……你是不是傻啊？<br>我早就習慣被晾在一邊了。"""
un_043070_0130#0,"""而且我現在忙得都沒工夫去想這些。<br>那個笨蛋瑪麗亞<br>可是把雜活兒全扔給了我呢。"""
un_043070_0140#0,"""說起來，我想和你談一下<br>總務部那邊提交的資料<br>你看現在方便嗎？"""
un_043070_0150#0,"""行啊，時間上沒什麼……<br>……等等，稍等一下！<br>夏歐給我發來通訊了！"""
un_043070_0160#0,"""……夏歐你可真是的！<br>給我發聯絡的時機總是那麼唐突！"""
un_043070_0170#0,"""……所以什麼事啊？你說沒事？<br>想聽聽我的聲音……你是不是傻啊？<br>那你就趕緊把演算搞完出來呀。"""
un_043070_0180#0,"""我這邊有在隨手應付啦。恩，恩。<br>沒事沒事，那部分我也想辦法搞好了。<br>……我知道，我也沒在吵架。"""
un_043070_0190#0,"""好好，恩，我懂我懂。<br>這種事你不用挨個確認。<br>對了，你那邊如何？"""
un_043070_0200#0,"""……我也不是在擔心啦。<br>總之，我下次再去找你<br>這次你可得出來見我哦，好不好？"""
un_043070_0210#0,"""行行，那我掛了。"""
un_043070_0220#0,"""真是的，每次都那麼突然。<br>抱歉啊雪拉，我們接著說……"""
un_043070_0230#0,"""……幹、幹嘛啦！"""
un_043070_0240#0,"""沒事沒事，就感覺，怎麼說呢……<br>……剛才那段，真是不錯呢。"""
un_043070_0250#0,"""呃！好啦雪拉！趕緊說正事！<br>肯定是瑪麗亞提交的文件上的問題對不對！<br>趕緊拿給我看！趕緊！"""
un_043070_0260#0,"""好－－，知道啦知道啦。"""
un_043070_0270#0,"""<%me><br>你也別在這種地方摸魚了<br>快去做你ARKS的工作去！"""
