st_065020_0001#0,"""A.P.242/3/29"""
st_065020_0010#0,"""啊、那個……<br>雷吉亞斯和阿露瑪？"""
st_065020_0020#0,"""接下來的戰鬥、對ARKS來說是<br>具有重大意義的戰鬥。<br>這是一場必須獲勝的戰鬥。"""
st_065020_0030#0,"""……嗯、是啊。<br>輸了就完蛋了。"""
st_065020_0040#0,"""我、爲了保護ARKS的大家<br>會抱著捨棄自身的覺悟戰鬥。"""
st_065020_0050#0,"""……不。不是覺悟。<br>恐怕這將成爲現實。"""
st_065020_0060#0,"""……嗯、我知道。<br>我知道阻止也沒用。<br>吉君、你總是這樣啊。"""
st_065020_0070#0,"""……和你的約定、沒能實現<br>就這樣倒下了、我很難過。"""
st_065020_0080#0,"""但是、即便如此也必須要做。<br>因爲未來的道路、應該是在<br>我們老兵的基礎之上。"""
st_065020_0090#0,"""希望、我們所編織的未來<br>你能够看到。"""
st_065020_0100#0,"""這是連一個承諾都<br>不能滿足地實現的窩囊男人<br>的最後的願望。"""
st_065020_0110#0,"""……不會的、吉君。"""
st_065020_0120#0,"""你已經充分實現了<br>你的承諾。<br>我真的很高興。"""
st_065020_0130#0,"""即使看不見我的身影、我們的心還是連在一起的。<br>最後的願望什麼的、我不會讓你。<br>不會讓你一個人……。"""
