IncidentName#0,"""擊敗$(0)！"""
TrialBeginMsg#0,"""緊急指令！擊敗新出現的<br>$(0)！"""
TrialAbstract#0,"""已確認擊敗了新出現的<br>$(0)！"""
NpcComOnPreBegin#0,"""$(0)！<br>（與上兩句合併）　辛苦了！<br>......咦？　有個巨大反應！？"""
NpcComOnBegin#0,"""緊急聯絡！<br>發現了新的<br>$(0)！　竟然會沒發現有敵人接近......！　"""
NpcComOnSuccess#0,"""/face2 已確認完全擊敗了<br>$(0)！<br>感謝所有人員的協助！"""
NpcComOnPreBegin#1,"""確認已經討伐了$(0)。<br>真是的，總算告一段落了......<br>......不，等等，怎麼會有這個反應！"""
NpcComOnBegin#1,"""緊急指令，新的<br>$(0)出現！<br>敵人都這麼近了，竟然沒有察覺......！"""
NpcComOnSuccess#1,"""討伐了$(0)<br>已確認。感謝所有人員的協助。"""
NpcComOnPreBegin#2,"""/face2 成功了！<br>已擊敗$(0)！<br>......咦？　這個反應相當大！"""
NpcComOnBegin#2,"""哇哇，嗚哇哇！<br>$(0)！？<br>新出現的！？　什麼時候靠近的！？"""
NpcComOnSuccess#2,"""/face2 總、總算是<br>成功擊退了<br>$(0)。大家辛苦了。"""
NpcComOnPreBegin#3,"""$(0)、撃破確認。<br>……ですが、別の反応が<br>近づいてきています。"""
NpcComOnBegin#3,"""緊急指令発令。<br>出現した$(0)を<br>撃破してください。"""
NpcComOnSuccess#3,"""緊急指令の達成を確認。<br>$(0)の反応は<br>消失しました。"""
NpcComOnPreBegin#4,"""$(0)の撃退を確認！<br>……ですが、なんだかもう少し<br>続きそうな感じですよ！"""
NpcComOnBegin#4,"""緊急連絡！<br>$(0)の反応を確認！<br>連戦です、気をつけてください！"""
NpcComOnSuccess#4,"""$(0)の撃退を<br>確認しました、お疲れ様です！<br>なんとかなってよかったです！"""
NpcComOnPreBegin#5,"""$(0)の撃退を確認！<br>……ですが、なんだかもう少し<br>続きそうな感じですよ！"""
NpcComOnBegin#5,"""緊急連絡！<br>$(0)の反応を確認！<br>連戦です、気をつけてください！"""
NpcComOnSuccess#5,"""$(0)の撃退を<br>確認しました、お疲れ様です！<br>なんとかなってよかったです！"""
