st_046090_0001#0,"""A.D.2028/4/21/19:00"""
st_046090_0010#0,"""哈啊……哈啊……！"""
st_046090_0020#0,"""……還沒……還沒結束呢，火継。"""
st_046090_0030#0,"""算我求你了，你就先睡過去好不好！<br>要是再繼續打下去，你可是會……！"""
st_046090_0040#0,"""那可不行呀。我怎麼可以睡覺呢？<br>我必須要拯救火継才行呀<br>而且，聖母也命令了我要殺了你呢……！"""
st_046090_0050#0,"""冰莉小姐的生命體征有明顯的異常……<br>她的全身都在超負荷運轉<br>照理說，她已經痛苦得無法動彈了也不奇怪……可她卻……"""
st_046090_0060#0,"""冰莉……"""
st_046090_0070#0,"""……退下吧，火継。<br>讓你來當她的對手太殘忍了。<br>這個小姑娘……就交給我來對付。"""
st_046090_0080#0,"""可要是歸根究底<br>這原本就是我的錯。都怪我沒有好好面對她。"""
st_046090_0090#0,"""所以，這一切也要由我來了結。<br>冰莉……就由我來砍殺！"""
st_046090_0100#0,"""火継，你就別煩惱啦。<br>我不希望看到你煩惱的表情。<br>我想看到你，更加更加大顯神通的樣子……！"""
st_046090_0110#0,"""你是一直都孤身一人的我，遇見的第一個朋友。<br>遇見的第一個，我所珍視的人。"""
st_046090_0120#0,"""我們不論何時，也要永遠永遠在一起哦，火継。"""
st_046090_0130#0,"""呃……！"""
st_046090_0140#0,"""放、放開我，<%me>！<br>就讓我來把冰莉給……！"""
st_046090_0150#0,"""你真的打算砍向她？"""
st_046090_0160#0,"""別放棄"""
st_046090_0170#0,"""……要是能救，那我當然想救她了。<br>可是……若是只剩下砍向她這一個選擇<br>那這也是我的使命……！"""
st_046090_0180#0,"""……我也不想放棄啊！<br>可現在這樣，也只會讓冰莉一直痛苦下去…………！"""
st_046090_0190#0,"""……！<br>明明都這樣了，<%me>你卻<br>還是想讓我不要放棄嗎？"""
st_046090_0200#0,"""畢竟這可是<%me>呀<br>肯定是會這麼說的啦。"""
st_046090_0210#0,"""火継小姐，你或許有所不知。<br>但你旁邊的這個人，可是一位<br>不論何時都未曾放棄過的超強之人哦。"""
st_046090_0220#0,"""……所以火継小姐，你不可以放棄。<br>一旦選擇了放棄，就什麼事情也做不成了。"""
st_046090_0230#0,"""你們所擁有的那份力量<br>就是你們心中所願的具現化……<br>所以，你絕對不可以放棄！"""
st_046090_0240#0,"""雪拉……"""
st_046090_0250#0,"""哎，這可真是……我本是覺著<br>麻溜點把她打倒會更省事點……<br>可要是落個不愉快，那我也同樣不樂意。"""
st_046090_0260#0,"""喂，火継，你不是也想救阿有嗎？<br>那你至少麻利點把這傢伙給救了！<br>把你的“癡人說夢”，都親手實現出來！"""
st_046090_0270#0,"""哥……"""
st_046090_0280#0,"""<%me>……"""
st_046090_0290#0,"""拜託了……請賜予我力量……<br>請賜予我，實現我心願的力量……！"""
st_046090_0300#0,"""好溫暖的光芒……這是……<br><%me>曾解救我那時的力量……？"""
st_046090_0310#0,"""冰莉……<br>我現在就來救你！"""
st_046090_0320#0,"""哈啊啊啊啊啊啊！！"""
st_046090_0330#0,"""冰莉！"""
st_046090_0340#0,"""火……継……？"""
st_046090_0350#0,"""火継……！<br>火継－－！"""
st_046090_0360#0,"""太好了……我終於……<br>終於見到你了……！"""
st_046090_0370#0,"""對不起……火継，對不起！<br>……我好害怕！<br>我還以為自己被你討厭了……！"""
st_046090_0380#0,"""我們明明之前一直都形影不離的<br>可你卻突然不肯陪在我身邊……<br>所以我就，所以我就……！"""
st_046090_0390#0,"""……對不起，冰莉。<br>對不起，我讓你變成了孤身一人。"""
st_046090_0400#0,"""冰莉你沒做錯任何事。錯的都是我。<br>這一切，都要怪總是只會對冰莉撒嬌的我。"""
st_046090_0410#0,"""我早就該好好地，多跟你聊一聊才是。<br>我不該全都自己憋在心裡，而該找你推心置腹一番的。"""
st_046090_0420#0,"""不論是我的煩惱、我的苦楚……<br>還是冰莉你的煩惱、你的苦楚……"""
st_046090_0430#0,"""我都該好好地去直面它們才是啊。<br>……現在這樣，我根本就不算是個稱職的朋友嘛。"""
st_046090_0440#0,"""所以，要是冰莉你還願意……<br>我們就重歸於好吧，可以嗎？"""
st_046090_0450#0,"""就像我們初次遇見時的那樣……"""
st_046090_0460#0,"""……火継！"""
