un_044030_0010#0,"""咦，<%me>。<br>你怎麼一個人？"""
un_044030_0020#0,"""啊，我懂了！<br>你是來見我的對不對？<br>哎呀，超人氣偶像果然還是沒那麼容易當啊－－！"""
un_044030_0030#0,"""你說得沒錯"""
un_044030_0040#0,"""只是正巧路過"""
un_044030_0050#0,"""……你說得這麼淡然<br>總感覺跟隨便應付我似的<br>讓我有點受傷欸。"""
un_044030_0060#0,"""真是的，這種時候你就不能<br>哪怕開個玩笑嘛？就說「你怎麼會知道」<br>然後驚慌失措一下這種。"""
un_044030_0070#0,"""……對了！<br>給你看看這邊的樣子<br>你應該是會稍微震驚一下的吧！"""
un_044030_0080#0,"""……如何？<br>有稍微被震驚到麼？"""
un_044030_0090#0,"""也有段時間沒展示過這邊的樣子了。<br>……畢竟最近，都沒什麼活兒派給我。"""
un_044030_0100#0,"""雖說我聽命於三英雄卡斯拉，又坐上了<br>情報部的次席席位，但這也只不過是區區職稱罷了。<br>我要做的事情，也就只有處理事務和下達批准。"""
un_044030_0110#0,"""……說實話，你回來的那時候<br>我真的還挺害怕的。"""
un_044030_0120#0,"""害怕萬一你因為瑪伊的副作用<br>而忘記了我的存在……"""
un_044030_0130#0,"""不過還好沒事。<br>不論是你還是大家<br>都一直沒有忘掉我。"""
un_044030_0140#0,"""這下子……我也就沒有必要<br>勉強去戰鬥了。"""
un_044030_0150#0,"""畢竟你都已經回來了嘛。"""
un_044030_0160#0,"""而且，更重要的是……"""
un_044030_0170#0,"""比起戰鬥，我果然還是更喜歡<br>在大家的面前唱歌跳舞、擺出一張笑臉來。"""
un_044030_0180#0,"""大家的偶像庫娜是永恆不滅的！<br>所以呢，<%me><br>你今後也要多支持我一下哦！"""
