Name#0,"""奧普達"""
Trouble#0,"""嘖!失敗了!<br>先暫時降下吧!"""
PassMessage#0,"""心情很好的偵查中"""
PassMessage2#0,"""聽說編隊偵查可以很輕鬆沒關係呢"""
DropHelpItem#0,"""聽說帶來了救援物資呢"""
DropEnemy#0,"""這個傢伙，總覺得好像很奇怪......<br>算了不管"""
Shooting#0,"""你看你看，那就是援護射擊!"""
FallMessage#0,"""糟了是極限了麼!<br>聽說只能匆忙的緊急降落"""
RequestDefense#0,"""要修理故障的地方!<br>先暫時仰賴救援!"""
RequestDefense2#0,"""哇啊，真是浪費了......<br>修理期間先仰賴援救了!"""
EnemyFront#0,"""從前面來了，注意!"""
EnemyRight#0,"""從右舵來了，注意!"""
EnemyBack#0,"""從後面來了，注意!"""
EnemyLeft#0,"""從左舵來了，注意!"""
Broken#0,"""喂喂敵人真的是很拼命耶......<br>這樣下去就糟了吧?"""
Destroy#0,"""任何事都是需要放棄的!<br>逃走吧!"""
SuccessDefence#0,"""修理完了!<br>感謝救援!"""
EvFallMessage#0,"""哇啊，再這樣下去會很糟糕吧......<br>抱歉了，要再次緊急降落!"""
EvRequestDefense#0,"""嗚哇，真是嚴重......<br>每次都這樣真抱歉，要再仰賴修理中的援救"""
EvBroken#0,"""已經這麼破爛不堪了<br>但還是會有留戀啊......!"""
EvDestroy#0,"""任何事都是要繼續的<br>抱歉了，要逃走!"""
EvSuccessDefence#0,"""呼，差一點終於趕上了<br>感謝救援，謝謝!"""
EvDarker#0,"""啊，這樣不行!<br>都沒聽到你說的這些事!<br>要逃走!"""
Trouble#1,"""失誤了，可惡!<br>先暫時降下，請原諒!"""
PassMessage#1,"""偵查飛行中<br>眺望的景色真棒"""
PassMessage2#1,"""就和偵察飛行隊一樣!"""
DropHelpItem#1,"""帶來了難以等待的救援物資!<br>真是混亂，快領取!"""
DropEnemy#1,"""但是真是有夠重的物資啊"""
Shooting#1,"""不會捲進去的，安心吧!<br>那麼快去救援吧!"""
FallMessage#1,"""嘖，失敗了!<br>要緊急降落!"""
RequestDefense#1,"""這樣會很花時間啊......<br>修理期間要請求救援!"""
RequestDefense2#1,"""哇啊，真是嚴重啊<br>要修理才行，拜託援護了!"""
EnemyFront#1,"""從前面來了，注意!"""
EnemyRight#1,"""從右舵來了，注意!"""
EnemyBack#1,"""從後面來了，注意!"""
EnemyLeft#1,"""從左舵來了，注意!"""
Broken#1,"""再這樣下去就糟了......<br>請好好守住啊，拜託你了!"""
Destroy#1,"""嗯，這是黑盒子吧......<br>抱歉了，要逃走才行!"""
SuccessDefence#1,"""好了，迴避黑盒子...也取得了<br>恢復控制!謝謝!"""
EvFallMessage#1,"""看起來好像有帶吧?<br>這樣是沒帶吧......緊急降落!"""
EvRequestDefense#1,"""破壞成這樣子實在很難修復啊......<br>修理中要拜託護衛一下了!"""
EvBroken#1,"""沒來!聽說有經過啊<br>這邊都已經被敵人鎖定了!"""
EvDestroy#1,"""任何事都是要繼續的<br>抱歉了，要逃走!"""
EvSuccessDefence#1,"""呼，差一點終於趕上了<br>感謝救援，謝謝!"""
EvDarker#1,"""啊，這樣不行!<br>都沒聽到你說的這些事!<br>要逃走!"""
Trouble#2,"""機器上出現了問題!<br>抱歉了要暫時降落!"""
PassMessage#2,"""對了，敵人跑到哪去了"""
PassMessage2#2,"""偵查隊不是只有這樣<br>別錯過了大部分的偵查隊!"""
DropHelpItem#2,"""你看，是救援物資!<br>他們說要我們好好的運用!"""
DropEnemy#2,"""不過救援物資這東西有那麼重麼?"""
Shooting#2,"""用這個做援護射擊!<br>一口氣攻陷他們吧!"""
FallMessage#2,"""嗯，太過勉強了麼!<br>沒辦法了，緊急降落!"""
RequestDefense#2,"""因為要好好修理<br>敵人就拜託你了!"""
RequestDefense2#2,"""唔，這修理還真是費力......<br>算了，也只能做了。再一下就好，拜託你防衛了!<br>"""
EnemyFront#2,"""從前面來了，注意!"""
EnemyRight#2,"""從右舵來了，注意!"""
EnemyBack#2,"""從後面來了，注意!"""
EnemyLeft#2,"""從左舵來了，注意!"""
Broken#2,"""哇，竟在剛修好的時候又被破壞了<br>也只能笑了，真是畜生一個啊!"""
Destroy#2,"""啊，可惡，再下去就沒辦法了!<br>抱歉了，要逃走才行!"""
SuccessDefence#2,"""呼，總是能再拿回來的<br>謝謝援護!這樣就能飛了!"""
EvFallMessage#2,"""唉，一下子會飛一下子又不能飛的<br>真是可惡，緊急降落!"""
EvRequestDefense#2,"""不管怎樣都只能修理了<br>抱歉，拜託你護衛一下!"""
EvBroken#2,"""再這樣叫去就真的太勉強了!<br>就連我都要叫苦連天了!"""
EvDestroy#2,"""任何事都是要繼續的<br>抱歉了，要逃走!"""
EvSuccessDefence#2,"""呼，差一點終於趕上了<br>感謝救援，謝謝!"""
EvDarker#2,"""啊，這樣不行!<br>都沒聽到你說的這些事!<br>要逃走!"""
