un_025070_0010#0,"""嗯？當站在十年前的時間軸上時<br>爲什麼不怎麼說話呢？"""
un_025070_0020#0,"""原因有二。<br>……首先，第一個是<br>為了不讓錫安生氣。"""
un_025070_0030#0,"""十年前的記錄被錫安抹掉了。<br>也許是因爲對她不方便<br>才隱瞞起來的吧？"""
un_025070_0040#0,"""如果是這樣的話、可能會排除<br>想要揭發這件事的我們。<br>所以，爲了不被發現才保持沉默。"""
un_025070_0041#0,"""大概也會從克拉麗莎<br>一直盯着你的。<br>現在只是靜觀其變。"""
un_025070_0042#0,"""不，應該說沒有興趣吧?？<br>唉，不管怎麼說，我出去的話<br>不知道會被做什麼。"""
un_025070_0050#0,"""她就像我的母親一樣。<br>如果你要干涉我的話<br>我馬上就揍你。"""
un_025070_0060#0,"""還有，還有一個理由……"""
un_025070_0070#0,"""嗯，怎麼說才好呢。<br>……好尷尬啊。"""
un_025070_0080#0,"""就像做了壞事<br>一直被盯著一樣的感覺<br>感覺很不舒服。"""
un_025070_0090#0,"""我並沒有<br>做什麼壞事啊……<br>很難做啊。"""
