st_056060_0010#0,"""……終於找到你了。<br>芙洛。"""
st_056060_0020#0,"""哇！　哇啊！？<br>怪物！　怪物來了！<br>姐姐，快幫幫我！"""
st_056060_0030#0,"""就算你説快幫幫我……<br>那個，你是芙洛認識的人麽？"""
st_056060_0040#0,"""不好意思。<br>我是伊斯＝阿魯斯的筆頭從屬官。<br>克拉麗莎。"""
st_056060_0050#0,"""請多關照。<br>昆特王哈莉艾特。<br>還有，守護煇士。"""
st_056060_0070#0,"""克拉麗莎……？"""
st_056060_0080#0,"""不是錫安麽？"""
st_056060_0100#0,"""……嗯。<br>是對我的名字有想到什麽麽？"""
st_056060_0120#0,"""？？<br>我的名字是，克拉麗莎。<br>沒有其他的名字。"""
st_056060_0140#0,"""……<br>知道我和守護煇士呢。<br>比起這個，筆頭從屬官是……"""
st_056060_0160#0,"""不、不對吧。<br>我還不是筆頭不是麽。"""
st_056060_0170#0,"""……對的呢。<br>那麽，接下的我的行爲<br>也不會有任何不敬的吧。"""
st_056060_0190#0,"""疼……疼疼！"""
st_056060_0200#0,"""隨從也不帶，一個人就隨意外出<br>到底在想什麽！<br>就沒考慮過自身的安危麽！"""
st_056060_0210#0,"""因、因爲、因爲……<br>想來這裏看看嘛！<br>昆特漂亮的觀光地！"""
st_056060_0220#0,"""就算我説了想來<br>也不會同意的吧？<br>所以……"""
st_056060_0230#0,"""所以，你就一個人來了？"""
st_056060_0250#0,"""……對不起。"""
st_056060_0260#0,"""我知道了。"""
st_056060_0270#0,"""昆特王，哈莉艾特大人。<br>還有，守護煇士。<br>謝謝你們保護了芙洛。"""
st_056060_0280#0,"""改日一定好好感謝你們。"""
st_056060_0290#0,"""那麽，回去吧，芙洛。<br>要開始儀式的準備了。"""
st_056060_0300#0,"""……不要。"""
st_056060_0310#0,"""啊？"""
st_056060_0320#0,"""不－－要－－！<br>儀式結束了就沒辦法玩了！<br>會得變不自由！"""
st_056060_0330#0,"""……不要任性了。<br>這是我們做了約定的事情吧。"""
st_056060_0340#0,"""我明白那個，可是……<br>因爲以後沒辦法玩了<br>至少最後，讓我多……"""
st_056060_0360#0,"""以後，沒辦法玩了？"""
st_056060_0370#0,"""最後是指什麼意思？"""
st_056060_0390#0,"""……怎麼感覺氣氛<br>變得有點兒可怕。<br>準備對這個孩子做什麼？"""
st_056060_0410#0,"""不是危險的事。<br>是要讓芙洛成爲國家的象徵。"""
st_056060_0420#0,"""主要從事經商的伊斯＝阿魯斯。<br>人只要接觸到金錢，有了慾望，就會失去利益。"""
st_056060_0430#0,"""因此商的象徵應該是清廉的，<br>沒有慾望，與人無爭，<br>一心爲了國家和人民所祈禱、祈願的存在。"""
st_056060_0440#0,"""掌管利和益的象徵之子。<br>在禊的儀式結束之後，將會繼承這個身份。"""
st_056060_0450#0,"""聽起來倒是沒什麼問題<br>那這個孩子的自由會消失是什麼情況？"""
st_056060_0460#0,"""對啊對啊－－！<br>會再也沒辦法和其他人一起玩了！"""
st_056060_0470#0,"""所以在那個時間之前<br>都一直在允許你做喜歡的事。"""
st_056060_0490#0,"""……芙洛。<br>你覺得這樣就行了麼？"""
st_056060_0500#0,"""昆特王，你這是內政干涉。"""
st_056060_0510#0,"""……讓我聽聽你的想法。<br>芙洛。"""
st_056060_0530#0,"""雖然還想繼續玩<br>……但是我覺得那樣也可以。<br>我成爲伊斯＝阿魯斯的象徵。"""
st_056060_0540#0,"""我會和國家合二爲一。<br>這本來就是早已決定了的事<br>從出生時就決定了的事。"""
st_056060_0550#0,"""那樣做的話<br>大家就會變得高興。<br>大家就會變得幸福。"""
st_056060_0560#0,"""大家變幸福的話……<br>大家變高興的話……"""
st_056060_0570#0,"""誰都不會哭泣……<br>也不會有爭鬥。"""
st_056060_0590#0,"""……那就是你的選擇<br>你的決意，是吧。"""
st_056060_0600#0,"""嗯。"""
st_056060_0620#0,"""哈莉艾特姐姐。<br><%me>，還有妖精姐姐。"""
st_056060_0630#0,"""謝謝你們<br>謝謝你們一起陪我玩。"""
st_056060_0650#0,"""守護輝士，雪拉。<br>給你們添麻煩了。<br>我已經沒事了。"""
st_056060_0660#0,"""可不能輸給那個孩子的覺悟。<br>我要馬上返回王都。"""
st_056060_0670#0,"""要把鬥爭的根源<br>徒花給排除掉才行……<br>讓這個世界變得和平。"""
st_056060_0680#0,"""那樣的話，<br>芙洛也一定可以笑着生活。"""
skit01#0,"""The Secret of her Past"""
skit02#0,"""女王的休息"""
name01#0,"""？？？"""
name02#0,"""？？？"""
