name01#0,"""昆特兵"""
name02#0,"""？？？"""
st_053020_0160#0,"""昆特王城，玉座。"""
st_053020_0170#0,"""過去的宰相魯茲坐在玉座上<br>焦躁不已地聽着部下的報告。"""
st_053020_0180#0,"""……這個狼狽的樣子是怎麼回事？<br>我應該下令鎮壓反叛軍了吧。"""
st_053020_0190#0,"""盧瑟和哈莉艾特依然活着……<br>不僅如此，各地配備的魔神城<br>也被擊破了，到底是怎麼回事？"""
st_053020_0200#0,"""雖説魔神城是無敵的要塞<br>而且還是有着強大的魔神結界的。"""
st_053020_0210#0,"""但是如果破壞障壁的術式被發明的話<br>也是有可能被擊破的……"""
st_053020_0220#0,"""我問你接下來打算怎麼做！"""
st_053020_0230#0,"""……請冷靜下來，叔父大人。"""
st_053020_0240#0,"""這是可以冷靜下來的麼！<br>是魔神城被破壞了啊……！"""
st_053020_0250#0,"""哈莉艾特公主他們和<br>擁有破壞魔神城的力量的<br>被稱作守護輝士的人在一起。"""
st_053020_0260#0,"""並且對面還是王族直系的兩個人。<br>雖說國家的實權還是叔父大人的<br>但是客觀上來說大義名分還是在對面。"""
st_053020_0270#0,"""阿麗莎……你這，到底是誰的同伴啊？"""
st_053020_0280#0,"""我作爲劍的巫女，<br>只是在陳述客觀的事實而已。"""
st_053020_0290#0,"""爲了國家，爲了國民着想的話<br>就應該選擇和睦相處的那一條路。"""
st_053020_0300#0,"""不可能！<br>和導致國家崩壞的王族直系<br>和睦什麼的，不可能！"""
st_053020_0310#0,"""叔父大人……<br>先王真的導致了國家的崩壞麼？"""
st_053020_0320#0,"""事到如今還說什麼！<br>魔神城和徒花都是爲了在這個世界上<br>保護這個國家所不可欠缺的東西！"""
st_053020_0330#0,"""宣稱放棄那個就等同於導致了國家的崩壞！<br>國家的崩壞，也就是國家歷史的消失！"""
st_053020_0340#0,"""你所守護的傳說和劍也會消失的吧！<br>對的吧……劍之巫女阿麗莎！"""
st_053020_0350#0,"""……是。"""
st_053020_0360#0,"""失去魔神城的力量的話<br>在這個世界上維持住一個國家是不可能的……<br>叔父大人的話雖說很有道理。"""
st_053020_0370#0,"""但是，就算會顛覆這個<br>也要捨棄魔神城，着急地排除徒花的<br>理由到底是……？"""
st_053020_0380#0,"""……只能直接問一下才知道了。"""
