Npc47_01_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_02_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_03_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_04_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_05_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_06_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_07_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_08_010#0,"""ARKS的成員總是很辛苦，<br>所以至少待在大廳時<br>要好好休息喔。"""
Npc47_mb9_010#0,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb10_010#0,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb11_010#0,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb12_010#0,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb13_010#0,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb14_010#0,"""なんか最近大変そうだね。<br>休めるときにゆっくり休まないと<br>いざというときにもたないよ？"""
Npc47_mb16zeno_010#0,"""すっごい大変だったみたいだね。<br>今が休める時なら、ゆっくり休んで<br>次にそなえるといいと思うよ？"""
