name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
skit01#0,"""呼？<br>現在樹蔭裡好像有什麼？"""
skit02#0,"""......現在樹蔭下<br>好像有什麼的樣子。"""
skit03#0,"""呼呼呼，藏在那個後面<br>想搞什麼鬼麼？<br>樹蔭裡有人吧？"""
skit04#0,"""喔！什麼？<br>那個樹蔭，沒有動靜麼？"""
skit05#0,"""嗯！好像有什麼......<br>哪裡？　從哪裡開始～？"""
skit06#0,"""是不是那個樹蔭啊。<br>剛才，動了一下。"""
skit07#0,"""......你在意的是....那裡的樹蔭麼？<br>雖然不是什麼了不起的。"""
skit01#1,"""/ci2 2 呼？<br>現在樹蔭裡好像有什麼？"""
skit02#1,"""/ci2 2 ......現在在樹蔭中<br>好像有什麼的樣子。"""
skit03#1,"""/ci2 2 呼呼呼，藏在那個後面<br>想搞什麼鬼麼？<br>樹蔭裡有人吧？"""
skit04#1,"""/ci2 2 喔！什麼？<br>那個樹蔭，沒有動靜麼？"""
skit05#1,"""/ci2 2 嗯，不知為什麼感覺不對......<br>哪裡？　從哪裡開始～？"""
skit06#1,"""/ci2 2 是不是那個樹蔭。<br>剛才，動了一下。"""
skit07#1,"""/ci2 2 ......你在意的的是那個樹蔭麼？<br>雖然不是什麼了不起的。"""
