st_055080_0010#0,"""這是，哥哥的......<br>這麼說，果然在這附近。"""
st_055080_0020#0,"""哥哥-！　你在哪，哥哥-！<br>父親和魯茲正在找你-！"""
st_055080_0030#0,"""哥......"""
st_055080_0040#0,"""哥哥！？"""
st_055080_0050#0,"""......這樣的話，能成。<br>理論上沒有錯的可能。"""
st_055080_0060#0,"""哦呀，這不是哈莉艾特麼。<br>竟然找到這麼偏僻的地方了呢。"""
st_055080_0070#0,"""哥哥......你在做什麼？<br>魔神城的召喚......好像有點兒不一樣。"""
st_055080_0080#0,"""魔神城？　那種東西只是路上的風景。<br>我的研究所指向的是更加遙遠的地方。"""
st_055080_0090#0,"""更遙遠的地方？"""
st_055080_0100#0,"""啊啊，你覺得是什麼呢？"""
st_055080_0110#0,"""唔嗯......比魔神城還神奇的東西......"""
st_055080_0120#0,"""那是，讓已經失去的存在迴歸。<br>完成原始的召喚。"""
st_055080_0130#0,"""使用徒花作爲媒介的話就可以了。<br>這就可以把相分離的世界聯繫在一起。<br>......剩下的就只有時間的調整了。"""
st_055080_0140#0,"""將那個存在的靈魂和肉體回溯到所指定的時間......"""
st_055080_0150#0,"""......哥哥。<br>這個行爲對人類來說是不被允許的吧<br>不是麼。"""
st_055080_0160#0,"""真是不湊巧，我是不相信神明的。<br>我只相信發生的事實和做成的事實。"""
st_055080_0170#0,"""存在的回溯......就連ARKS也<br>沒有掌握那種技術。"""
st_055080_0180#0,"""如果說這是使用那個徒花<br>就可以實現的事情的話<br>哈莉艾特的擔心就是正常的。"""
st_055080_0190#0,"""......得加快腳步了。<br>我覺得事情很不妙。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
