st_054065_0010#0,"""這個國家大體的地理<br>和情勢已經掌握了。"""
st_054065_0020#0,"""長期持續的內戰狀態……<br>恐怕，威倫的皇帝也受到了徒花的影響。"""
st_054065_0030#0,"""反過來說，阻止了皇帝的話<br>應該會起到一定的作用才對。<br>上吧。"""
st_054065_0040#0,"""喂，守護輝士。<br>招呼都不打一個，打算去哪裏？"""
st_054065_0050#0,"""如果是打算去打倒皇帝混蛋的話<br>……也帶上我去吧。"""
st_054065_0060#0,"""請也帶上我。"""
st_054065_0070#0,"""邀請你們來這個國家的是我。<br>我可以給你們帶路，並且有突發情況時<br>我也可以提前發現。"""
st_054065_0080#0,"""……這不是說著玩的事情呢。<br>怎麼辦，<%me>？"""
st_054065_0090#0,"""１．自己保護好自己"""
st_054065_0100#0,"""２．自由地上吧"""
st_054065_0110#0,"""哈，沒問題！"""
st_054065_0120#0,"""那麼，請恕我冒昧<br>讓我擔負導航和警戒的任務吧。"""
skit01#0,"""The Rebellion to Elder"""
skit02#0,"""決死的反叛"""
