name01#0,"""歐薩"""
name02#0,"""瑪露"""
name03#0,"""莉莎"""
name04#0,"""亞方"""
name05#0,"""琶提"""
name06#0,"""提雅"""
name07#0,"""莎拉"""
linewindow#0,"""<br>黑暗種好像逃出來的樣子！<br>"""
skit01#0,"""逃跑前打倒他們！"""
skit02#0,"""......沒在逃跑前擊殺的話。"""
skit03#0,"""唉呀唉呀！拼命逃跑麼？<br>唉！那是是沒用的。"""
skit04#0,"""就是想拼命逃！<br>等等，突然逃跑了麼！"""
skit05#0,"""呼呼呼......好像很害怕<br>我的力量！<br>喔呵！不知該逃到哪！"""
skit06#0,"""不，可不能讓他逃了。<br>說了很多次了，這是輸贏的關鍵<br>是什麼啊？"""
skit07#0,"""瞄準背面就不好玩了，可是<br>不可以在勝敗關頭輸掉。"""
skit01#1,"""/ci2 2 逃跑之前打倒他！"""
skit02#1,"""/ci2 2 ......逃跑之前不擊敗的話。"""
skit03#1,"""/ci2 2 唉呀唉呀，拼命逃跑了吧？<br>唉！那是是沒用的。"""
skit04#1,"""/ci2 2 嗯，想拼命逃跑！<br>等等，突然逃跑了麼！"""
skit05#1,"""/ci2 2 呼呼呼......你的力量<br>我的力量！<br>喔呵！不知該逃到哪！"""
skit06#1,"""/ci2 2 不，被逃跑了可不行。<br>說了很多次了，這是輸贏的關鍵<br>是什麼啊？"""
skit07#1,"""/ci2 2 瞄準背面就不好玩了，可是<br>不可以在勝敗關頭輸掉。"""
