ra_013030_0001#0,"""A.P.238/4/2"""
ra_013030_0010#0,"""嗯？　你想知道過去發生了什麼事？<br>黑暗法爾斯出現時發生的事情<br>你想知道那些事？"""
ra_013030_0020#0,"""如果是以前學過的部分<br>我多少還記得一點，不過......"""
ra_013030_0030#0,"""......啊，可是我也不確定哦。<br>而且我最討厭唸書了。"""
ra_013030_0040#0,"""是不是全部正確<br>我也沒辦法確定，要是你不介意的話。"""
ra_013030_0050#0,"""就我的記憶所及<br>黑暗法爾斯這個名字<br>大概出現過2次吧。"""
ra_013030_0060#0,"""40年前的戰爭和<br>10年前的那件事。"""
ra_013030_0070#0,"""40年前的就是那個咯。<br>將黑暗法爾斯【巨躯】<br>給打倒的傢伙。"""
ra_013030_0080#0,"""嗯，實際上並不是打倒他<br>正確來說，應該是將他封印起來吧<br>好像是這個樣子。"""
ra_013030_0090#0,"""當時的主力陣容當中的<br>三個人，就是後來的三英雄。"""
ra_013030_0100#0,"""後來以三英雄為中心，在這場戰爭中<br>被打得七零八落的ARKS<br>才得以重建，大致過程就是這樣吧。"""
ra_013030_0110#0,"""然後，另一次就是10年前的事情。<br>這我也記得很清楚哦<br>當時的事情......"""
ra_013030_0120#0,"""黑暗法爾斯領軍<br>對ARKS發動大規模的攻勢。"""
ra_013030_0130#0,"""我想想......那場戰爭的結果是...<br>以第二代克拉莉絲克蕾絲的力量<br>擊退了黑暗法爾斯的勢力，應該是吧。"""
ra_013030_0140#0,"""但結果卻也因此而過世<br>所以現在的克拉莉絲克蕾絲是第三代。"""
ra_013030_0150#0,"""我記得當時還有<br>很多大名鼎鼎的人物也都被幹掉了<br>總歸一句話，損失慘重啊。"""
ra_013030_0160#0,"""當時不知有多少艘的戰艦<br>被他們擊落......"""
ra_013030_0170#0,"""不僅是ARKS而已<br>連一般市民也慘遭池魚之殃呢。"""
ra_013030_0180#0,"""我姐姐也在那時失蹤了......"""
ra_013030_0190#0,"""啊，抱歉！<br>我不該談起這件事的！"""
ra_013030_0200#0,"""唔，大致上就這樣啦。<br>有很多地方記不清楚，請多包涵哪。<br>有點想不太起來耶。"""
ra_013030_0210#0,"""每次試著回想過去發生的事情時<br>這次的情況或許還比較好一點。"""
ra_013030_0220#0,"""......身邊的親人<br>遭人殺害的經驗<br>一定會感到極度傷痛吧。"""
ra_013030_0230#0,"""......啊，不會啦。<br>反正傑諾還沒確定<br>會被幹掉啊。"""
ra_013030_0240#0,"""嗯，說、說的也是。<br>只不過是下落不明而已嘛。<br>不要緊、一定不要緊的！"""
