st_054110_0001#0,"""毫不費力地召喚的魔神城。<br>還有編入的超人的尖兵。"""
st_054110_0003#0,"""漫天的抱怨聲亂飛，但是也沒有挫敗<br>一心前往目的地的守護輝士一行人。"""
st_054110_0005#0,"""最終到達的帝都和途中完全不同，被靜寂所包圍。<br>就像沒有一個活人存在一樣。"""
st_054110_0007#0,"""在那裏的只有皇帝一人。"""
st_054110_0009#0,"""威倫皇帝，修雷格獨身一人等待着自己的對手的到來。"""
st_054110_0010#0,"""……來了啊。"""
st_054110_0020#0,"""你就是……威倫皇帝麼？"""
st_054110_0030#0,"""完全正確。<br>我就是威倫皇帝，修雷格。<br>守護輝士啊，辛苦了。"""
st_054110_0040#0,"""哈哈，哈哈哈哈！<br>終於見面了啊，混蛋皇帝！"""
st_054110_0050#0,"""不只是大家的生命，<br>還有隨意玩弄這個國家的罪過……<br>是時候償還了。"""
st_054110_0060#0,"""呵呵呵……玩弄國家麼。<br>我是皇帝，意思就是這是我的國家。<br>想怎麼做是我自己的事吧。"""
st_054110_0070#0,"""有意見的話，就來幹掉我啊。<br>應該給了你爲此的力量吧。<br>是吧？　實驗體們。"""
st_054110_0080#0,"""……憑藉非我所望得到的力量<br>有什麼意義！"""
st_054110_0090#0,"""呼，沒有力量就只有死路一條啊。"""
st_054110_0100#0,"""不管說得多好聽<br>在這個世界上，力量就是正義。弱者只有服從。<br>這都還不理解麼？"""
st_054110_0110#0,"""呀，守護輝士啊。<br>即使是你，在得到這麼強大的力量之前<br>應該也是一路戰鬥過來的吧。"""
st_054110_0120#0,"""不管是打倒怪物還是人，都沒區別。<br>人道非人道都沒關係。力量本身就是正義。<br>這才是世界上普遍且唯一的真理。"""
st_054110_0130#0,"""因此，從上古開始威倫就鍛鍊自己<br>讓自己成爲了強者。<br>現在正是極致。"""
st_054110_0140#0,"""讓戰火在世界蔓延……<br>讓自己的力量更爲強大。"""
st_054110_0150#0,"""……已經沒有什麼好說的了。<br>用你們的正義來試試粉碎我吧!"""
st_054110_0160#0,"""法爾斯・黒曜暴躯！？<br>而且，黑暗種也……！"""
st_054110_0170#0,"""是因爲徒花的力量麼……？<br>但是就算這樣也太過分了！"""
st_054110_0180#0,"""果然，徒花是<br>【深遠之暗】的一部分……！"""
st_054110_0190#0,"""哈哈哈！<br>不是挺好麼！<br>變得相當好懂了呢！"""
st_054110_0200#0,"""打倒那個混蛋的話，就是我們的勝利！<br>被打敗就輸了，就是這樣。"""
st_054110_0210#0,"""威倫皇帝，修雷格。<br>就算燃盡剩餘的生命……<br>也要將你打倒。"""
skit01#0,"""***"""
skit02#0,"""***"""
