name01#0,"""庫琳"""
linewindow#0,"""<br>關於『極限任務』假想道具<br>"""
text00#0,"""關於『極限任務』假想道具"""
text07#0,"""說明關於掉落道具。<br><br>「極限任務」中出現的敵人是<br>以人工方式重新出現的。<br><br>因此，部分無法重新出現的掉落道具<br>不一定會出現。<br><br>此類道具會顯示為專用圖示。"""
text08#0,"""顯示為專用圖示的掉落道具在<br>拾取後不會放進道具背包，<br>由於其並非固定的數據，所以會存放專用空間中<br>作為假想道具。<br><br><yellow>專用空間中儲存的假想道具<br>在任務結束時就會消失<br>只有完成任務時可以從「極限任務裝置」<br>取回一定數量。<c>"""
text09#0,"""說明關於「舞台委託」。<br><br>在「極限任務」中，各舞台會<br>出現名為「舞台委託」的實驗性委託。<br><br>達成委託後，敵人的<br>道具掉落數就會上升。<br><br>此外，當完成一定數量的任務時<br>可以帶回來的道具數量會增加。"""
text10#0,"""在「舞台委託」中，<br>不接收玩家的所有恢復效果<br>且必須滿足條件。<br><br><yellow>※但是，瑪古產生的恢復效果、技能達到的自動恢復效果、<br>付費道具達到的恢復效果除外。<c>"""
text11#0,"""說明關於「敵人能力變化」。<br><br>在「極限任務」中，為了製造出嚴酷的狀況<br>將以人為的方式強化敵人。<br>該強化稱為「敵人能力變化」。<br><br>強化部分抗性的「敵人能力變化」在達成<br>前一舞台的「舞台委託」時<br>產生相反作用，可以轉變成有利的效果。"""
skit01#0,"""それでは！<br>何事も習うより慣れろ！<br>ってことで、がんばってくださーい。"""
skit01_01#0,"""せっかくなので、各ステージに<br>私の方から<c f46b41>ステージオーダー<c>という<br>実験課題を出させてもらってますよー。"""
skit02#0,"""難易度はちょーっと高めですが<br><blue>達成できれば、エネミーが弱くなったり<br>クリア後の報酬が増えたり<c>しますよー！"""
skit03#0,"""不只這樣！<br>掉落道具數及可以帶回的<br>道具數也會一下子增加！"""
skit04#0,"""嗯，就這樣<br>請開始吧！。<br>我是庫琳，"""
skit05#0,"""擔任極限任務管理<br>的工作。<br>希望可以一直在一起。"""
skit06#0,"""このクエストは<br>とりあえず<blue>５ステージクリアできれば、<br>クエストクリア<c>になってますよー。"""
skit07#0,"""一見さんお断りの容赦ない難易度ですが<br>達成できれば、再現データが変化して<br>エネミーが弱くなったりしますよー！"""
skit08#0,"""課題を達成したら、<blue>次のステージでは<br>もっと手応えある難易度になります<c>けど<br>その分、報酬もすごく増えますよー！"""
