st_056040_0010#0,"""謝謝。<br>……舒服多了。"""
st_056040_0020#0,"""而且還變輕鬆了。<br>因爲一直都強忍着<br>不讓自己流淚，所以。"""
st_056040_0030#0,"""嗚……嗚……<br>對不起，對不起。<br>已經沒事了，已經好了才對。"""
st_056040_0040#0,"""啊－－，把女孩弄哭了－－！"""
st_056040_0045#0,"""這可不行－－，這可不行－－！"""
st_056040_0050#0,"""沒事吧，大姐姐。<br>有什麼不好的事發生了麼？"""
st_056040_0060#0,"""悲傷的時候才會哭的吧？<br>有討厭的事了才會哭的吧？"""
st_056040_0070#0,"""沒事的，不是那樣的。<br>謝謝你爲我擔心。"""
st_056040_0080#0,"""唔嗯？<br>大人真複雜呢。"""
st_056040_0090#0,"""你是誰？"""
st_056040_0100#0,"""從哪來的？"""
st_056040_0110#0,"""我？<br>我呢，叫芙洛。"""
st_056040_0120#0,"""芙洛<br>你是哪來的？"""
st_056040_0130#0,"""嘿嘿嘿！<br>從哪來的……是祕密！"""
st_056040_0140#0,"""比起這個，大姐姐們！<br>一起來玩吧！<br>這裏呢，是玩的地方吧！"""
st_056040_0150#0,"""玩起來的話，淚水就不會出來了！<br>嗯，嗯，怎麼樣！？"""
st_056040_0160#0,"""……說得對呢。<br>本來就是爲此才來這裏的。"""
st_056040_0170#0,"""……<%me>。<br>注意到了麼，那個孩子。"""
st_056040_0180#0,"""雖然有點兒不一樣……"""
st_056040_0190#0,"""……和【雙子】一模一樣"""
st_056040_0200#0,"""……對。<br>和黑暗法爾斯【雙子】很像。"""
st_056040_0210#0,"""那個孩子也……和盧瑟一樣<br>是以【雙子】爲原型的吧。<br>……有點兒在意呢。"""
name01#0,"""？？？"""
name02#0,"""？？？"""
