st_058130_0010#0,"""哎呀、太棒了、太棒了。<br>完全被打敗了、前輩。"""
st_058130_0020#0,"""我還以爲在這裏、接收不到<br>任何人的救援呢……<br>你好像比想象中更受人愛戴呢？"""
st_058130_0030#0,"""不只是這個虛構世界的人們。<br>連黑暗法爾斯的素體們也<br>成為了好朋友、撒。"""
st_058130_0040#0,"""哈莉艾特在哪裏？"""
st_058130_0050#0,"""把哈莉艾特還給我"""
st_058130_0060#0,"""哈莉艾特？<br>呵呵、哈莉艾特<br>不就在你眼前嗎。"""
st_058130_0070#0,"""這個黑繭、就是哈莉艾特桑……？"""
st_058130_0080#0,"""那是、【深遠之暗】的容器。<br>無論何時任何歷史都是如此。<br>所以在這個世界上也是一樣的。"""
st_058130_0090#0,"""無論懷抱多麼崇高的使命<br>無論成爲多麼受人民敬仰的存在<br>最終都會匯聚成毀滅世界的東西。"""
st_058130_0100#0,"""那就是獻祭之子、哈莉艾特<br>規定的記録、撒。<br>可以說是無法改變的命運。"""
st_058130_0110#0,"""……你明白嗎、前輩？<br>要把那個救出來、沒用的。<br>最多也只能做到、把她殺了。"""
st_058130_0120#0,"""那樣的話、你不是很擅長嗎？<br>前輩之所以成爲前輩的理由<br>也正是如此。哈哈哈！"""
st_058130_0130#0,"""絶対會幫助她"""
st_058130_0140#0,"""想說的只有這些嗎？"""
st_058130_0150#0,"""就像是一個笨蛋一樣<br>無論如何也總是會說幫助別人幫助別人……<br>那是做不到的！"""
st_058130_0160#0,"""做出了犧牲某人而生存的選擇！<br>過去是這樣、現在也是這樣！<br>……而未來也一定會如此！"""
st_058130_0170#0,"""必須滅亡！<br>此時此刻、就這樣！<br>讓一切歸零吧！"""
st_058130_0180#0,"""前輩……【假面】<br>也在期待著這個吧！？"""
st_058130_0190#0,"""你不要談論【假面】"""
st_058130_0200#0,"""你不是【假面】"""
st_058130_0210#0,"""……閉嘴前輩！<br>我……比誰都是、黑暗法爾斯！"""
st_058130_0220#0,"""從原初開始的、編織到未來的<br>守護輝士的記録！<br>在這裏、我要給你畫上終點！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
