un_043050_0010#0,"""啊……！<br><%me>大人！"""
un_043050_0020#0,"""<%me>大人！<br>好久不見了！<br>您還記得我吧！"""
un_043050_0030#0,"""……你誰來著？"""
un_043050_0040#0,"""……是啊，好久不見"""
un_043050_0050#0,"""一上來就忘得這麼乾脆！？"""
un_043050_0060#0,"""您剛才略作的沉默<br>就已經表明您記不太清楚了！"""
un_043050_0070#0,"""我是香取！香・取！<br>是宣揚、傳授您所熱愛的凌客<br>並已然成為了傳說的美麗少女！"""
un_043050_0080#0,"""不過，這成為了傳說的<br>其實是由於宣傳過於強硬，而發到我這兒的抱怨數量。"""
un_043050_0090#0,"""那都是因為佐賀先生你不怎麼做宣傳。<br>最為重要的一步，就是得讓大家<br>先記住我們才行啊。真是的。"""
un_043050_0100#0,"""不過不過，也多虧了<br><%me>大人的協助<br>凌客這一職業終於得到了廣泛的傳播！"""
un_043050_0110#0,"""似乎多了許多ARKS，都是憧憬於你的大顯身手<br>而不挑三揀四，嘗試起了各式各樣的職業和武裝。"""
un_043050_0120#0,"""也不僅僅是凌客，你的活躍<br>甚至支撐起了ARKS的多樣性。"""
un_043050_0130#0,"""除此之外，也有香取<br>沒事搞了些什麼奇怪的宣傳<br>滿世界說“<%me>也用過”的功勞吧。"""
un_043050_0140#0,"""我可沒說謊！<br>我這人是不會說謊的！<br>而且即便沒用過，至少也應該是了解的！"""
un_043050_0150#0,"""而且，就算現在沒用過，只要未來肯用一用<br>這些話就全－－部都會變成真的啦！"""
un_043050_0160#0,"""……不過確實，作戰手段還是多樣化一些<br>更能方便地應對各種事態。"""
un_043050_0170#0,"""而且，領會到這一點的人才越多<br>也確實越容易得出對策。"""
un_043050_0180#0,"""我聽說最近出現了新問題。<br>……如果需要藉助我們的力量，你隨時叫我們就好。"""
un_043050_0190#0,"""哼哼哼……佐賀先生說得沒錯！<br>就讓我這份成長過的力量，為您而戰吧！"""
un_043050_0200#0,"""……聊了聊你應該也看出來了<br>香取她沒怎麼變，所以沒準是會給你添麻煩的<br>總之，還是麻煩你了。"""
un_043050_0210#0,"""佐賀先生好過分！<br><%me>大人<br>您也別輕易點頭啊！"""
