st_063110_0310#0,"""哎呀。<br>這麼說來、那樣的力量<br>在那邊的世界體會到了。"""
st_063110_0320#0,"""黑暗法爾斯集合在我面前<br>擋住我、真是愉快的事情。"""
st_063110_0330#0,"""哈啊！"""
st_063110_0340#0,"""哈！"""
st_063110_0350#0,"""呼！"""
st_063110_0360#0,"""呀哈哈！"""
st_063110_0370#0,"""但是、你忘了嗎。<br>這個力量的根本是什麼。"""
st_063110_0380#0,"""黑暗法爾斯是從<br>【深遠之暗】中誕生的。"""
st_063110_0390#0,"""也就是來自<br>【深遠之暗】的力量。"""
st_063110_0400#0,"""孩子不可能戰勝父母。"""
st_063110_0410#0,"""ARKS也好<br>黑暗法爾斯也好<br>所有的一切都在我的掌握中。"""
st_063110_0420#0,"""……真是太沒勁兒了。"""
st_063110_0430#0,"""…………啊？"""
st_063110_0440#0,"""那樣子……黑暗法爾斯？"""
st_063110_0450#0,"""那是、我不知道的樣子啊……"""
st_063110_0460#0,"""但是、這樣的話就不能<br>稱之爲障礙了。"""
st_063110_0470#0,"""！！<br>主人、上面！"""
st_063110_0480#0,"""啊！"""
st_063110_0490#0,"""嘁！"""
st_063110_0500#0,"""今天就到此為止。<br>怎麼樣。"""
st_063110_0510#0,"""……感覺不到光子。<br>不是ARKS？"""
st_063110_0520#0,"""你是、什麼人。<br>目的是什麼。"""
st_063110_0530#0,"""不好意思、說晚了。<br>我是法蕾＝艾夫斯。<br>從地球趕來。"""
st_063110_0540#0,"""被強大力量的氣息所吸引<br>情形如上。"""
st_063110_0550#0,"""地球……<br>是另一個次元的行星吧。"""
st_063110_0560#0,"""我個人很想繼續戰鬥下去<br>但我不能放任大家不管<br>……所以我先告辭了。"""
st_063110_0570#0,"""希望有一天、還能再見面。"""
st_063110_0580#0,"""主人、沒事吧！"""
st_063110_0590#0,"""沒有問題。<br>對於不能吸收光子的對象<br>稍微有點吃驚的程度。"""
st_063110_0600#0,"""如果認識到也存在<br>這樣的東西的話<br>就不是障礙了。"""
st_063110_0610#0,"""……要追嗎？<br>如果再次使用那個結界的話<br>可能會成為威脅。"""
st_063110_0620#0,"""不、捉迷藏已經夠了。<br>米朵拉也這麼說過吧。"""
st_063110_0630#0,"""接下來、就是貫徹破壞之道。<br>將所有的世界、所有的次元作為祭品。"""
