st_058150_0010#0,"""現在、<%me>桑！<br>用你的力量、救出哈莉艾特桑！"""
st_058150_0020#0,"""沒用的！"""
st_058150_0030#0,"""喂、守護輝士啊！<br>不要說什麼救贖什麼的！"""
st_058150_0040#0,"""我好不容易才出來的啊？<br>要更加更加緊繃的緊張感<br>和背負死亡的鬥爭……來吧！"""
st_058150_0050#0,"""別得意忘形了！"""
st_058150_0060#0,"""你真是礙事。"""
st_058150_0070#0,"""礙眼的傢伙！"""
st_058150_0080#0,"""汝之所行、值得萬死。"""
st_058150_0090#0,"""……於這種程度的對手苦戰<br>你打算拯救誰？"""
st_058150_0100#0,"""盧瑟哥哥所期望的世界。<br>沒有徒花的世界。"""
st_058150_0110#0,"""爲了實現那個……<br>我、要帶着一切消失。"""
st_058150_0120#0,"""這個靈魂、這個容器就是爲了這個……"""
st_058150_0130#0,"""果真如此嗎。"""
st_058150_0140#0,"""盧瑟……哥哥……？"""
st_058150_0150#0,"""哈莉艾特。<br>側耳傾聽就好。"""
st_058150_0160#0,"""呼喚我的、大家的聲音……<br>但是、我……不是哈莉艾特<br>而是這個不祥之器的……"""
st_058150_0170#0,"""決定世界的是、你自己。<br>哈莉艾特。"""
st_058150_0180#0,"""如果你不改變<br>你的世界也不會改變。"""
st_058150_0190#0,"""你、是想讓我期待未來嗎……<br>用這充滿黑暗的身體……未来。"""
st_058150_0200#0,"""未来はいつでも君の側にある。<br>君がそちらを向いていないだけだ。<br>……ほら。"""
st_058150_0210#0,"""回去吧"""
st_058150_0220#0,"""我來救你了"""
st_058150_0230#0,""" 守護輝士……！"""
st_058150_0240#0,"""嚮往未來是、萬物的權利。<br>這不能成為對世界的背叛。"""
st_058150_0250#0,"""你不是、人偶。<br>你就是你、哈莉艾特。"""
st_058150_0260#0,"""再見了、父親。"""
st_058150_0270#0,"""再見了、最高傑作。"""
st_058150_0280#0,"""守護輝士。<br>我……走吧。<br>我要、活下去！"""
name01#0,"""芙洛&芙劳"""
name02#0,"""？？？"""
