name01#0,"""勇敢的男性"""
name02#0,"""害怕的男性"""
name03#0,"""想要逃跑的男性"""
st_054040_0010#0,"""哈，哈！<br>一個勁兒地冒出來的雜魚們<br>這就是全部麼！"""
st_054040_0020#0,"""……又，又來了！<br>再這樣下去……孩子們……！<br>嗚，哇啊啊啊！"""
st_054040_0030#0,"""不行了……沒有要停下來的樣子！<br>不退後的話就要被吞沒了！"""
st_054040_0040#0,"""……不能退後的吧！<br>不要忘了在這後面有什麼啊<br>沒出息的笨蛋！"""
st_054040_0050#0,"""……呲！<br>是，呢。"""
st_054040_0060#0,"""本來就是打算捨棄的生命吧！<br>不要事到如今還捨不得啊！<br>就算只有一點兒，也要爲了同伴！"""
st_054040_0070#0,"""好險好險！<br>飛速趕來真是太對了！"""
st_054040_0080#0,"""希娜！？<br>他們是……！"""
st_054040_0090#0,"""放心，哥德哈特。<br>這些人是我們的夥伴！"""
st_054040_0100#0,"""哥德哈特！？"""
st_054040_0110#0,"""怎，怎麼了？<br>他的名字怎麼了麼？"""
st_054040_0120#0,"""啊啊沒什麼，沒什麼！"""
st_054040_0130#0,"""之後在考慮各種各樣的問題吧！<br>先處理眼前的情況吧！"""
