st_052050_0010#0,"""這次您的鼎力相助，我謹代表所有人致以誠摯感謝。"""
st_052050_0020#0,"""１．這是理所應當的行爲"""
st_052050_0030#0,"""２．比起這個，那敵人是怎麼回事？"""
st_052050_0040#0,"""就像<%me>說的，<br>對ARKS來說是很平常的事。"""
st_052050_0050#0,"""比起那種事，<br>更在意魔神城。<br>還有破界塔。"""
st_052050_0060#0,"""嗯嗯，就這個。<br>我也一直在意。<br>還有那個叫破界塔的東西。"""
st_052050_0070#0,"""首先是魔神城。<br>一直能產生敵人……<br>那是堡壘……？　還是生物？"""
st_052050_0080#0,"""可以說是堡壘，也可以說是生物。<br>連續不斷地召喚出無數的魔物，活著的要塞。<br>……它叫做，魔神城。"""
st_052050_0090#0,"""大規模召喚術召喚出來的，<br>插在世界上的悪的楔子。"""
st_052050_0100#0,"""召喚術？"""
st_052050_0110#0,"""從異世界召喚出召喚獣的一種魔法。"""
st_052050_0120#0,"""這個世界有叫做魔法的東西。"""
st_052050_0130#0,"""使用大氣中的魔力<br>引發超自然現象的技術。"""
st_052050_0140#0,"""……嗯，看起來像我們說的<br>光子和法術一樣呢。"""
st_052050_0145#0,"""對之前魔神城和破界塔的分析來看，<br>它們的根源是一致的呢。"""
st_052050_0150#0,"""一個人能掌控的魔力的量是有限的，<br>魔法的性能也控制在常識的範圍之内。"""
st_052050_0160#0,"""……直到徒花出現之前。"""
st_052050_0170#0,"""這徒花，從数十年前<br>開始，在這個世界中開花。<br>它不結種子，只開花。"""
st_052050_0180#0,"""然後，人們知道了<br>它做爲魔法的觸媒十分有用。"""
st_052050_0190#0,"""有的国家，用來強化身体強化魔法<br>有的國家用來製備控制心靈的魔藥<br>還有的國家，研究出了增殖的秘法……"""
st_052050_0200#0,"""然後，我的國家在召喚術方面特別有造詣。"""
st_052050_0210#0,"""魔神城便是召喚技術的極致。<br>用盡周圍所有的徒花<br>召喚出來，像楔子一般留在那裡。"""
st_052050_0220#0,"""在自身的周圍展開堅固的魔神結界，<br>為了迎擊，召喚出無數的魔物。<br>而且，魔神城自身也有強大的戰鬥力。"""
st_052050_0230#0,"""不論用什麼魔法，以人類的力量，<br>攻陷這個要塞<br>據說幾乎是不可能的。"""
st_052050_0240#0,"""一旦召喚了魔神城，存在于那裡的<br>魔力和徒花都被消耗殆盡，<br>不可能召喚新的魔神城。"""
st_052050_0250#0,"""也就是說，召喚出魔神城<br>就贏了，是吧。"""
st_052050_0260#0,"""是的。<br>這個世界的戰鬥，隨著魔神城的出現<br>完全地變了樣子。"""
st_052050_0270#0,"""為了打破魔神城，<br>產生的便是召喚術「破界塔」。"""
st_052050_0280#0,"""就是剛剛戰鬥中<br>使用的那個吧。"""
st_052050_0290#0,"""集中大氣中的魔力，<br>只用來擊潰魔神城展開的<br>魔神結界的攻城兵器。"""
st_052050_0300#0,"""但是，控制破界塔需要大量的魔力。<br>缺少徒花的我們，無法控制。"""
st_052050_0310#0,"""但是，<%me>能控制它。<br>然後撃破魔神城。"""
st_052050_0320#0,"""魔法需要魔力，技術需要努力……<br>要使用力量，便有相應的代價。"""
st_052050_0330#0,"""什麼都不付出，<br>使用這種超常的力量<br>是沒有辦法的……"""
st_052050_0340#0,"""現在，世界各地各國的紛爭……<br>這個國家的政變……<br>所有的起因，都是徒花。"""
st_052050_0350#0,"""讓全世界瘋狂的魔性的花。<br>我們的目的是，剷除此物，讓這個國家……<br>不，讓世界恢復和平。"""
st_052050_0360#0,"""世界和平，可是件大事呢……<br>……但是、也不能完全斷言<br>這是錯誤的、嗯。"""
st_052050_0370#0,"""哈莉艾特桑，這個花<br>能讓<%me>桑看看麼？"""
st_052050_0380#0,"""請在這花中注入力量。<br>就像在武器中注入光子。"""
st_052050_0390#0,"""……果然。"""
st_052050_0400#0,"""……果然。"""
st_052050_0410#0,"""……？<br>哈莉艾特桑<br>果然，是什麼意思？"""
st_052050_0420#0,"""就是在這之前說到的傳說。<br>在這個世界上，很久很久以前就流傳著的，<br>每個人都耳熟能詳的傳說故事。"""
st_052050_0430#0,"""其中的一部分是這樣的。"""
st_052050_0440#0,"""不要嘆息這個世界滿是黑暗。<br>一位英雄，由精靈引導著，<br>從連接着異世界的光芒那裡，出現了。"""
st_052050_0450#0,"""英雄成為了領袖，帶來了光明的道路。<br>那條路成為了勇士的道路<br>引導著那一代人。"""
st_052050_0460#0,"""受引導成為英雄的人們，<br>帶領迷惘的人民去往光明。<br>這條道路充滿荊棘，但卻是正確的方向。"""
st_052050_0470#0,"""汝等莫要恐懼。<br>他是引領光的人。救世主。<br>他帶來了淨化黑暗的光明。"""
st_052050_0480#0,"""<%me>。<br>……如傳說中<br>來自異世界的訪客。"""
st_052050_0490#0,"""不，「守護輝士」。"""
st_052050_0500#0,"""拜託了。<br>請借給我們力量。"""
st_052050_0510#0,"""好像變成了很大的事呢……"""
st_052050_0520#0,"""話說、哈莉艾特桑<br>這樣可以嗎？"""
st_052050_0530#0,"""明白這個傳說的意義<br>但我們很明顯不是這個世界的人。<br>相信這樣一個來路不明的人。"""
st_052050_0540#0,"""當然，雖說是傳說，<br>我也是有着警戒心的。"""
st_052050_0550#0,"""但是您向我伸出了援手。<br>並且還幫助了我兩次。"""
st_052050_0560#0,"""這就足夠了。<br>唯此足矣。"""
st_052050_0570#0,"""這時候混亂的時候，<br>但我相信毫不猶豫出手相助的<%me>。"""
st_052050_0580#0,"""就算是沒有傳說<br>我也會這麼回答。"""
st_052050_0590#0,"""剛剛叫做徒花的花的光子反應，消失了。"""
st_052050_0600#0,"""那是黑暗因子的一部分。<br>作爲ARKS不能放着不管。<br>而且…"""
st_052050_0610#0,"""都這樣說了，<br>沒辦法拒絕了呢……！"""
st_052050_0620#0,"""十分，感謝！"""
st_052050_0630#0,"""入手了很多情報呢。<br>總之先暫時回到ARKS戰艦報告吧？"""
skit01#0,"""The Savior"""
skit02#0,"""拯救世界的存在"""
