un_020540_0010#0,"""嗯......？<br>啊啊，你是ARKS吧。"""
un_020540_0020#0,"""我麼？　俺也是ARKS。<br>我叫做伊歐。<br>前輩，請多指教。"""
un_020540_0030#0,"""為什麼這麼吃驚？<br>我講的前輩就是你啊。<br>......喔，還聽不太習慣啊。"""
un_020540_0040#0,"""俺加入ARKS<br>也才不久之前的事。<br>所以你當然是俺的前輩，對吧？"""
un_020540_0050#0,"""喔，你對這個很好奇麼？<br>這東西沒什麼稀奇的。"""
un_020540_0055#0,"""前輩不也是一樣麼。"""
un_020540_0060#0,"""魔人的特徵<br>就是這個了。<br>兩眼的瞳孔顏色也不一樣，你看。"""
un_020540_0070#0,"""肌膚上的紋路......啊，<br>在這個地方露給你看還是不方便。"""
un_020540_0080#0,"""拜託不要一副不明就裡的表情。<br>俺知道的確有人很愛曝露，<br>但俺不一樣。"""
un_020540_0090#0,"""你看，頭上可是有兩支角喔。<br>......麻煩注意一下囉。"""
un_020540_0100#0,"""那就再見啦，前輩。"""
