st_062080_0210#0,"""啊啊！"""
st_062080_0220#0,"""嗚……嗚嗚嗚……！"""
st_062080_0230#0,"""〔沒事吧！？〕"""
st_062080_0240#0,"""這個……啊！"""
st_062080_0250#0,"""啊……啊……！<br>這裡是、最後的希望……<br>……我不會讓你們得逞的！"""
st_062080_0260#0,"""啊呀啊呀！"""
st_062080_0265#0,"""……嗚！？啊……！"""
st_062080_0270#0,"""礙事……不要礙事啊！"""
st_062080_0275#0,"""哈……！　啊……！"""
st_062080_0280#0,"""啊……！"""
st_062080_0285#0,"""不行不行！"""
st_062080_0290#0,"""啊……啊啊……<br>啊……啊……！"""
st_062080_0300#0,"""〔這樣的話……〕"""
st_062080_0310#0,"""對不起……對不起……！<br>我……沒能守住……！"""
st_062080_0320#0,"""明明努力了……明明很努力了……<br>只差一點點了……不行、不行。"""
st_062080_0330#0,"""夏歐……本想幫助你的……！<br>我……我……！"""
st_062080_0340#0,"""還沒結束！"""
st_062080_0350#0,"""夏歐還活着！"""
st_062080_0360#0,"""夏歐還沒有……我的身體裏……"""
st_062080_0370#0,"""……啊！<br>是啊、那傢伙在我心裏！"""
st_062080_0380#0,"""而萬物的本質是……心靈……是啊！"""
